"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Silas Katompa",14,"COD","FW","24-135",85,0,0,0,0,2,0,1,0,25,1,0,0,0.3,0.3,0,2,0,6,12,50,1,19,4,7,3
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Luca Pfeiffer",20,"GER","FW","26-182",5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,5,5,100,1,5,0,0,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Chris Führich",22,"GER","LW","25-040",79,0,0,0,0,0,0,0,0,38,3,1,1,0,0,0.3,4,0,20,23,87,5,23,4,7,4
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Josha Vagnoman",4,"GER","LW","22-069",11,0,0,0,0,2,0,0,0,5,1,0,0,0.2,0.2,0,0,0,3,3,100,1,4,1,0,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Gil Bastião Dias",31,"POR","RW","26-143",72,1,0,0,0,3,2,0,0,46,1,0,1,0.2,0.2,0.1,3,1,16,31,51.6,4,29,0,4,1
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Tanguy Coulibaly",7,"FRA","RW","22-000",18,1,0,0,0,1,1,0,0,6,0,0,0,0.1,0.1,0.1,1,0,3,4,75,2,4,1,0,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Genki Haraguchi",17,"JPN","LM","31-285",79,0,1,0,0,1,1,0,0,38,2,2,2,0.2,0.2,0.2,5,1,20,26,76.9,5,28,3,2,2
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Enzo Millot",8,"FRA","LM","20-216",11,0,0,0,0,1,1,1,0,9,0,0,0,0.1,0.1,0.2,2,0,6,7,85.7,2,7,1,1,1
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Atakan Karazor",16,"GER","CM","26-128",90,0,0,0,0,1,0,0,0,60,1,1,1,0,0,0.1,2,0,38,50,76,1,30,0,0,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Wataru Endo",3,"JPN","RM","30-009",90,0,1,0,0,1,0,0,0,46,1,2,2,0.1,0.1,0.1,2,2,24,37,64.9,4,31,1,2,1
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Borna Sosa",24,"CRO","LB","25-028",90,1,0,0,0,1,1,0,0,68,0,1,1,0.1,0.1,0.2,4,0,49,62,79,3,47,3,3,2
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Hiroki Ito",21,"JPN","CB","23-282",90,0,0,0,0,0,0,0,0,58,0,2,2,0,0,0,0,0,38,51,74.5,2,36,1,0,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Konstantinos Mavropanos",5,"GRE","CB","25-069",90,0,0,0,0,2,1,1,0,47,2,3,1,0.1,0.1,0,1,1,30,37,81.1,0,29,2,0,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Waldemar Anton",2,"GER","RB","26-213",80,0,0,0,0,2,0,0,0,71,1,1,3,0.2,0.2,0,3,1,38,54,70.4,4,36,1,2,1
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Pascal Stenzel",15,"GER","RB","26-335",10,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,4,7,57.1,1,4,0,0,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Stuttgart","Home","Fabian Bredlow",33,"GER","GK","27-353",90,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,29,34,85.3,0,27,0,0,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Köln","Away","Steffen Tigges",21,"GER","FW","24-202",90,0,0,0,0,1,0,0,0,26,1,1,0,0,0,0,3,0,13,18,72.2,0,10,1,2,1
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Köln","Away","Florian Kainz",11,"AUT","LW","30-117",63,0,0,0,0,3,2,0,0,53,1,1,1,0.1,0.1,0.1,9,0,25,39,64.1,8,29,1,1,1
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Köln","Away","Jan Thielmann",29,"GER","LW","20-268",27,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,50,0,2,1,1,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Köln","Away","Linton Maina",37,"GER","RW","23-240",73,0,0,0,0,1,0,0,0,39,0,0,0,0,0,0.1,4,0,18,27,66.7,4,26,2,4,1
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Köln","Away","Davie Selke",27,"GER","RW","28-029",17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,50,0,2,1,0,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Köln","Away","Denis Huseinbasic",8,"GER","AM","21-230",45,0,0,0,0,2,0,0,0,24,0,0,0,0.1,0.1,0,0,0,15,19,78.9,2,19,0,0,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Stuttgart","4-3-3",3,1.5,"Gil Bastião Dias · 9&rsquor; Borna Sosa · 59&rsquor; Tanguy Coulibaly · 74&rsquor;","3","0","Köln","4-2-3-1",0,0.5,"","4","0","https://fbref.com/en/matches/e83011a1/Stuttgart-Koln-February-18-2023-Bundesliga","Köln","Away","Sargis Adamyan",23,"ARM","AM","29-271",45,0,0,0,0,0,0,1,0,14,1,0,1,0,0,0,0,0,3,8,37.5,0,7,0,1,0
