"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Stuttgart","4-4-2",0,NA,"","4","0","Köln","4-4-2",2,NA,"Sebastian Freis · 25&rsquor; Wilfried Sanou · 89&rsquor;","2","0","https://fbref.com/en/matches/f1ffbdee/Stuttgart-Koln-September-19-2009-Bundesliga","Stuttgart","Home","Pavel Pogrebnyak",NA,"RUS","FW","25-315",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Stuttgart","4-4-2",0,NA,"","4","0","Köln","4-4-2",2,NA,"Sebastian Freis · 25&rsquor; Wilfried Sanou · 89&rsquor;","2","0","https://fbref.com/en/matches/f1ffbdee/Stuttgart-Koln-September-19-2009-Bundesliga","Stuttgart","Home","Cacau",NA,"GER","FW","28-176",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Stuttgart","4-4-2",0,NA,"","4","0","Köln","4-4-2",2,NA,"Sebastian Freis · 25&rsquor; Wilfried Sanou · 89&rsquor;","2","0","https://fbref.com/en/matches/f1ffbdee/Stuttgart-Koln-September-19-2009-Bundesliga","Stuttgart","Home","Timo Gebhart",NA,"GER","MF","20-160",75,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Stuttgart","4-4-2",0,NA,"","4","0","Köln","4-4-2",2,NA,"Sebastian Freis · 25&rsquor; Wilfried Sanou · 89&rsquor;","2","0","https://fbref.com/en/matches/f1ffbdee/Stuttgart-Koln-September-19-2009-Bundesliga","Stuttgart","Home","Ciprian Marica",NA,"ROU","FW","23-352",15,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Stuttgart","4-4-2",0,NA,"","4","0","Köln","4-4-2",2,NA,"Sebastian Freis · 25&rsquor; Wilfried Sanou · 89&rsquor;","2","0","https://fbref.com/en/matches/f1ffbdee/Stuttgart-Koln-September-19-2009-Bundesliga","Stuttgart","Home","Zdravko Kuzmanović",NA,"SRB","MF","21-362",61,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Stuttgart","4-4-2",0,NA,"","4","0","Köln","4-4-2",2,NA,"Sebastian Freis · 25&rsquor; Wilfried Sanou · 89&rsquor;","2","0","https://fbref.com/en/matches/f1ffbdee/Stuttgart-Koln-September-19-2009-Bundesliga","Stuttgart","Home","Sebastian Rudy",NA,"GER","MF","19-203",29,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Stuttgart","4-4-2",0,NA,"","4","0","Köln","4-4-2",2,NA,"Sebastian Freis · 25&rsquor; Wilfried Sanou · 89&rsquor;","2","0","https://fbref.com/en/matches/f1ffbdee/Stuttgart-Koln-September-19-2009-Bundesliga","Stuttgart","Home","Sami Khedira",NA,"GER","MF","22-168",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Stuttgart","4-4-2",0,NA,"","4","0","Köln","4-4-2",2,NA,"Sebastian Freis · 25&rsquor; Wilfried Sanou · 89&rsquor;","2","0","https://fbref.com/en/matches/f1ffbdee/Stuttgart-Koln-September-19-2009-Bundesliga","Stuttgart","Home","Roberto Hilbert",NA,"GER","DF,MF","24-338",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Stuttgart","4-4-2",0,NA,"","4","0","Köln","4-4-2",2,NA,"Sebastian Freis · 25&rsquor; Wilfried Sanou · 89&rsquor;","2","0","https://fbref.com/en/matches/f1ffbdee/Stuttgart-Koln-September-19-2009-Bundesliga","Stuttgart","Home","Élson",NA,"BRA","MF","27-307",45,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Stuttgart","4-4-2",0,NA,"","4","0","Köln","4-4-2",2,NA,"Sebastian Freis · 25&rsquor; Wilfried Sanou · 89&rsquor;","2","0","https://fbref.com/en/matches/f1ffbdee/Stuttgart-Koln-September-19-2009-Bundesliga","Stuttgart","Home","Arthur Boka",NA,"CIV","DF","26-170",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
