"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Stuttgart","3-1-4-2",0,1,"Serhou Guirassy · 82&rsquor;","4","1","Union Berlin","3-5-2",1,0.7,"Paul Jaeckel · 76&rsquor;","3","0","https://fbref.com/en/matches/58ecc893/Stuttgart-Union-Berlin-October-9-2022-Bundesliga","Stuttgart","Home","Serhou Guirassy",9,"GUI","FW","26-211",81,0,0,0,0,1,0,2,1,32,0,0,0,0.2,0.2,0,3,0,16,24,66.7,0,16,2,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Stuttgart","3-1-4-2",0,1,"Serhou Guirassy · 82&rsquor;","4","1","Union Berlin","3-5-2",1,0.7,"Paul Jaeckel · 76&rsquor;","3","0","https://fbref.com/en/matches/58ecc893/Stuttgart-Union-Berlin-October-9-2022-Bundesliga","Stuttgart","Home","Tiago Tomás",10,"POR","FW","20-115",90,0,0,0,0,1,0,0,0,40,1,0,1,0.1,0.1,0.3,3,0,15,26,57.7,2,15,2,2,1
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Stuttgart","3-1-4-2",0,1,"Serhou Guirassy · 82&rsquor;","4","1","Union Berlin","3-5-2",1,0.7,"Paul Jaeckel · 76&rsquor;","3","0","https://fbref.com/en/matches/58ecc893/Stuttgart-Union-Berlin-October-9-2022-Bundesliga","Stuttgart","Home","Hiroki Ito",21,"JPN","LW,CB","23-150",70,0,0,0,0,1,1,0,0,54,1,1,0,0,0,0.2,3,0,33,47,70.2,2,24,1,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Stuttgart","3-1-4-2",0,1,"Serhou Guirassy · 82&rsquor;","4","1","Union Berlin","3-5-2",1,0.7,"Paul Jaeckel · 76&rsquor;","3","0","https://fbref.com/en/matches/58ecc893/Stuttgart-Union-Berlin-October-9-2022-Bundesliga","Stuttgart","Home","Pascal Stenzel",15,"GER","CB","26-203",20,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,20,23,87,1,20,0,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Stuttgart","3-1-4-2",0,1,"Serhou Guirassy · 82&rsquor;","4","1","Union Berlin","3-5-2",1,0.7,"Paul Jaeckel · 76&rsquor;","3","0","https://fbref.com/en/matches/58ecc893/Stuttgart-Union-Berlin-October-9-2022-Bundesliga","Stuttgart","Home","Silas Katompa",14,"COD","RW","24-003",67,0,0,0,0,1,0,0,0,17,0,0,0,0.1,0.1,0,1,0,7,14,50,0,18,3,4,3
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Stuttgart","3-1-4-2",0,1,"Serhou Guirassy · 82&rsquor;","4","1","Union Berlin","3-5-2",1,0.7,"Paul Jaeckel · 76&rsquor;","3","0","https://fbref.com/en/matches/58ecc893/Stuttgart-Union-Berlin-October-9-2022-Bundesliga","Stuttgart","Home","Chris Führich",22,"GER","RW","24-273",23,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,8,10,80,0,5,1,1,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Stuttgart","3-1-4-2",0,1,"Serhou Guirassy · 82&rsquor;","4","1","Union Berlin","3-5-2",1,0.7,"Paul Jaeckel · 76&rsquor;","3","0","https://fbref.com/en/matches/58ecc893/Stuttgart-Union-Berlin-October-9-2022-Bundesliga","Stuttgart","Home","Naouirou Ahamada",32,"FRA","CM","20-194",90,0,0,0,0,1,0,0,0,57,2,1,1,0.1,0.1,0.1,4,0,34,41,82.9,1,25,1,2,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Stuttgart","3-1-4-2",0,1,"Serhou Guirassy · 82&rsquor;","4","1","Union Berlin","3-5-2",1,0.7,"Paul Jaeckel · 76&rsquor;","3","0","https://fbref.com/en/matches/58ecc893/Stuttgart-Union-Berlin-October-9-2022-Bundesliga","Stuttgart","Home","Wataru Endo",3,"JPN","CM","29-242",90,0,0,0,0,1,1,0,0,52,4,0,1,0.1,0.1,0.3,2,0,33,42,78.6,6,24,2,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Stuttgart","3-1-4-2",0,1,"Serhou Guirassy · 82&rsquor;","4","1","Union Berlin","3-5-2",1,0.7,"Paul Jaeckel · 76&rsquor;","3","0","https://fbref.com/en/matches/58ecc893/Stuttgart-Union-Berlin-October-9-2022-Bundesliga","Stuttgart","Home","Atakan Karazor",16,"GER","DM","25-361",81,0,0,0,0,0,0,1,0,53,2,1,2,0,0,0.1,0,0,36,42,85.7,4,21,0,0,0
"Fußball-Bundesliga","2022-10-09","Fußball-Bundesliga (Matchweek 9)","Stuttgart","3-1-4-2",0,1,"Serhou Guirassy · 82&rsquor;","4","1","Union Berlin","3-5-2",1,0.7,"Paul Jaeckel · 76&rsquor;","3","0","https://fbref.com/en/matches/58ecc893/Stuttgart-Union-Berlin-October-9-2022-Bundesliga","Stuttgart","Home","Luca Pfeiffer",20,"GER","FW,DM","26-050",9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,4,25,0,2,0,0,0
