"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Stuttgart","4-4-2",0,NA,"","2","0","Werder Bremen","4-1-2-1-2",2,NA,"Claudio Pizarro · 3&rsquor; Aaron Hunt · 51&rsquor;","1","0","https://fbref.com/en/matches/2851a7b5/Stuttgart-Werder-Bremen-October-4-2009-Bundesliga","Stuttgart","Home","Julian Schieber",NA,"GER","FW","20-233",60,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Stuttgart","4-4-2",0,NA,"","2","0","Werder Bremen","4-1-2-1-2",2,NA,"Claudio Pizarro · 3&rsquor; Aaron Hunt · 51&rsquor;","1","0","https://fbref.com/en/matches/2851a7b5/Stuttgart-Werder-Bremen-October-4-2009-Bundesliga","Stuttgart","Home","Élson",NA,"BRA","MF","27-322",30,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Stuttgart","4-4-2",0,NA,"","2","0","Werder Bremen","4-1-2-1-2",2,NA,"Claudio Pizarro · 3&rsquor; Aaron Hunt · 51&rsquor;","1","0","https://fbref.com/en/matches/2851a7b5/Stuttgart-Werder-Bremen-October-4-2009-Bundesliga","Stuttgart","Home","Cacau",NA,"GER","FW","28-191",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Stuttgart","4-4-2",0,NA,"","2","0","Werder Bremen","4-1-2-1-2",2,NA,"Claudio Pizarro · 3&rsquor; Aaron Hunt · 51&rsquor;","1","0","https://fbref.com/en/matches/2851a7b5/Stuttgart-Werder-Bremen-October-4-2009-Bundesliga","Stuttgart","Home","Clemens Walch",NA,"AUT","MF","22-086",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Stuttgart","4-4-2",0,NA,"","2","0","Werder Bremen","4-1-2-1-2",2,NA,"Claudio Pizarro · 3&rsquor; Aaron Hunt · 51&rsquor;","1","0","https://fbref.com/en/matches/2851a7b5/Stuttgart-Werder-Bremen-October-4-2009-Bundesliga","Stuttgart","Home","Thomas Hitzlsperger",NA,"GER","MF","27-182",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Stuttgart","4-4-2",0,NA,"","2","0","Werder Bremen","4-1-2-1-2",2,NA,"Claudio Pizarro · 3&rsquor; Aaron Hunt · 51&rsquor;","1","0","https://fbref.com/en/matches/2851a7b5/Stuttgart-Werder-Bremen-October-4-2009-Bundesliga","Stuttgart","Home","Sami Khedira",NA,"GER","MF","22-183",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Stuttgart","4-4-2",0,NA,"","2","0","Werder Bremen","4-1-2-1-2",2,NA,"Claudio Pizarro · 3&rsquor; Aaron Hunt · 51&rsquor;","1","0","https://fbref.com/en/matches/2851a7b5/Stuttgart-Werder-Bremen-October-4-2009-Bundesliga","Stuttgart","Home","Roberto Hilbert",NA,"GER","DF,MF","24-353",60,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Stuttgart","4-4-2",0,NA,"","2","0","Werder Bremen","4-1-2-1-2",2,NA,"Claudio Pizarro · 3&rsquor; Aaron Hunt · 51&rsquor;","1","0","https://fbref.com/en/matches/2851a7b5/Stuttgart-Werder-Bremen-October-4-2009-Bundesliga","Stuttgart","Home","Pavel Pogrebnyak",NA,"RUS","FW","25-330",30,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Stuttgart","4-4-2",0,NA,"","2","0","Werder Bremen","4-1-2-1-2",2,NA,"Claudio Pizarro · 3&rsquor; Aaron Hunt · 51&rsquor;","1","0","https://fbref.com/en/matches/2851a7b5/Stuttgart-Werder-Bremen-October-4-2009-Bundesliga","Stuttgart","Home","Arthur Boka",NA,"CIV","DF","26-185",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Stuttgart","4-4-2",0,NA,"","2","0","Werder Bremen","4-1-2-1-2",2,NA,"Claudio Pizarro · 3&rsquor; Aaron Hunt · 51&rsquor;","1","0","https://fbref.com/en/matches/2851a7b5/Stuttgart-Werder-Bremen-October-4-2009-Bundesliga","Stuttgart","Home","Matthieu Delpierre",NA,"FRA","DF","28-161",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Stuttgart","4-4-2",0,NA,"","2","0","Werder Bremen","4-1-2-1-2",2,NA,"Claudio Pizarro · 3&rsquor; Aaron Hunt · 51&rsquor;","1","0","https://fbref.com/en/matches/2851a7b5/Stuttgart-Werder-Bremen-October-4-2009-Bundesliga","Stuttgart","Home","Khalid Boulahrouz",NA,"NED","DF","27-280",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 8)","Stuttgart","4-4-2",0,NA,"","2","0","Werder Bremen","4-1-2-1-2",2,NA,"Claudio Pizarro · 3&rsquor; Aaron Hunt · 51&rsquor;","1","0","https://fbref.com/en/matches/2851a7b5/Stuttgart-Werder-Bremen-October-4-2009-Bundesliga","Stuttgart","Home","Stefano Celozzi",NA,"GER","DF","20-336",40,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
