"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Union Berlin","3-5-2",1,0.3,"Sheraldo Becker · 12&rsquor;","1","0","Bayern Munich","4-2-3-1",1,1.5,"Joshua Kimmich · 15&rsquor;","2","0","https://fbref.com/en/matches/434ccae6/Union-Berlin-Bayern-Munich-September-3-2022-Bundesliga","Union Berlin","Home","Sheraldo Becker",27,"SUR","FW","27-206",61,1,0,0,0,1,1,0,0,17,0,0,0,0,0,0,0,0,4,11,36.4,0,9,1,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Union Berlin","3-5-2",1,0.3,"Sheraldo Becker · 12&rsquor;","1","0","Bayern Munich","4-2-3-1",1,1.5,"Joshua Kimmich · 15&rsquor;","2","0","https://fbref.com/en/matches/434ccae6/Union-Berlin-Bayern-Munich-September-3-2022-Bundesliga","Union Berlin","Home","Jamie Leweling",40,"GER","FW","21-189",29,0,0,0,0,1,1,0,0,14,2,0,0,0.1,0.1,0,3,0,2,4,50,0,9,1,9,4
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Union Berlin","3-5-2",1,0.3,"Sheraldo Becker · 12&rsquor;","1","0","Bayern Munich","4-2-3-1",1,1.5,"Joshua Kimmich · 15&rsquor;","2","0","https://fbref.com/en/matches/434ccae6/Union-Berlin-Bayern-Munich-September-3-2022-Bundesliga","Union Berlin","Home","Kevin Behrens",17,"GER","FW","31-212",61,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,0,10,19,52.6,4,13,0,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Union Berlin","3-5-2",1,0.3,"Sheraldo Becker · 12&rsquor;","1","0","Bayern Munich","4-2-3-1",1,1.5,"Joshua Kimmich · 15&rsquor;","2","0","https://fbref.com/en/matches/434ccae6/Union-Berlin-Bayern-Munich-September-3-2022-Bundesliga","Union Berlin","Home","Sven Michel",11,"GER","FW","32-050",29,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,4,11,36.4,0,7,1,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Union Berlin","3-5-2",1,0.3,"Sheraldo Becker · 12&rsquor;","1","0","Bayern Munich","4-2-3-1",1,1.5,"Joshua Kimmich · 15&rsquor;","2","0","https://fbref.com/en/matches/434ccae6/Union-Berlin-Bayern-Munich-September-3-2022-Bundesliga","Union Berlin","Home","András Schäfer",13,"HUN","CM","23-143",84,0,0,0,0,1,0,0,0,25,2,1,1,0,0,0,1,1,7,11,63.6,2,8,2,5,1
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Union Berlin","3-5-2",1,0.3,"Sheraldo Becker · 12&rsquor;","1","0","Bayern Munich","4-2-3-1",1,1.5,"Joshua Kimmich · 15&rsquor;","2","0","https://fbref.com/en/matches/434ccae6/Union-Berlin-Bayern-Munich-September-3-2022-Bundesliga","Union Berlin","Home","Paul Seguin",14,"GER","CM","27-158",6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,100,1,3,0,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Union Berlin","3-5-2",1,0.3,"Sheraldo Becker · 12&rsquor;","1","0","Bayern Munich","4-2-3-1",1,1.5,"Joshua Kimmich · 15&rsquor;","2","0","https://fbref.com/en/matches/434ccae6/Union-Berlin-Bayern-Munich-September-3-2022-Bundesliga","Union Berlin","Home","Rani Khedira",8,"GER","CM","28-219",90,0,0,0,0,1,0,1,0,39,6,2,0,0,0,0,0,0,16,27,59.3,0,7,0,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Union Berlin","3-5-2",1,0.3,"Sheraldo Becker · 12&rsquor;","1","0","Bayern Munich","4-2-3-1",1,1.5,"Joshua Kimmich · 15&rsquor;","2","0","https://fbref.com/en/matches/434ccae6/Union-Berlin-Bayern-Munich-September-3-2022-Bundesliga","Union Berlin","Home","Morten Thorsby",2,"NOR","CM","26-121",84,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,10,14,71.4,1,5,0,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Union Berlin","3-5-2",1,0.3,"Sheraldo Becker · 12&rsquor;","1","0","Bayern Munich","4-2-3-1",1,1.5,"Joshua Kimmich · 15&rsquor;","2","0","https://fbref.com/en/matches/434ccae6/Union-Berlin-Bayern-Munich-September-3-2022-Bundesliga","Union Berlin","Home","Genki Haraguchi",24,"JPN","CM","31-117",6,0,0,0,0,2,0,0,0,4,0,0,0,0.1,0.1,0,0,0,1,2,50,0,1,0,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Union Berlin","3-5-2",1,0.3,"Sheraldo Becker · 12&rsquor;","1","0","Bayern Munich","4-2-3-1",1,1.5,"Joshua Kimmich · 15&rsquor;","2","0","https://fbref.com/en/matches/434ccae6/Union-Berlin-Bayern-Munich-September-3-2022-Bundesliga","Union Berlin","Home","Julian Ryerson",6,"NOR","WB","24-290",79,0,0,0,0,0,0,0,0,33,4,1,2,0,0,0,0,0,10,23,43.5,1,9,1,2,1
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Union Berlin","3-5-2",1,0.3,"Sheraldo Becker · 12&rsquor;","1","0","Bayern Munich","4-2-3-1",1,1.5,"Joshua Kimmich · 15&rsquor;","2","0","https://fbref.com/en/matches/434ccae6/Union-Berlin-Bayern-Munich-September-3-2022-Bundesliga","Union Berlin","Home","Niko Gießelmann",23,"GER","WB","30-342",11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,100,0,0,0,0,0
