"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-08-29","Fußball-Bundesliga (Matchweek 3)","Union Berlin","3-5-2",2,1.9,"Niko Gießelmann · 22&rsquor; Taiwo Awoniyi · 41&rsquor;","2","0","Mönchengladbach","4-2-3-1",1,1.8,"Jonas Hofmann · 90+1&rsquor;","0","0","https://fbref.com/en/matches/61782375/Union-Berlin-Monchengladbach-August-29-2021-Bundesliga","Union Berlin","Home","Taiwo Awoniyi",14,"NGA","FW","24-017",72,1,0,0,0,2,2,0,0,21,0,0,0,1,1,0.4,3,1,7,9,77.8,4,12,2,6,3
"Fußball-Bundesliga","2021-08-29","Fußball-Bundesliga (Matchweek 3)","Union Berlin","3-5-2",2,1.9,"Niko Gießelmann · 22&rsquor; Taiwo Awoniyi · 41&rsquor;","2","0","Mönchengladbach","4-2-3-1",1,1.8,"Jonas Hofmann · 90+1&rsquor;","0","0","https://fbref.com/en/matches/61782375/Union-Berlin-Monchengladbach-August-29-2021-Bundesliga","Union Berlin","Home","Kevin Behrens",17,"GER","FW","30-207",18,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,3,8,37.5,0,6,0,0,0
"Fußball-Bundesliga","2021-08-29","Fußball-Bundesliga (Matchweek 3)","Union Berlin","3-5-2",2,1.9,"Niko Gießelmann · 22&rsquor; Taiwo Awoniyi · 41&rsquor;","2","0","Mönchengladbach","4-2-3-1",1,1.8,"Jonas Hofmann · 90+1&rsquor;","0","0","https://fbref.com/en/matches/61782375/Union-Berlin-Monchengladbach-August-29-2021-Bundesliga","Union Berlin","Home","Max Kruse",10,"GER","FW","33-163",81,0,1,0,0,1,0,0,0,37,0,0,2,0,0,1,4,2,18,29,62.1,3,17,1,3,2
"Fußball-Bundesliga","2021-08-29","Fußball-Bundesliga (Matchweek 3)","Union Berlin","3-5-2",2,1.9,"Niko Gießelmann · 22&rsquor; Taiwo Awoniyi · 41&rsquor;","2","0","Mönchengladbach","4-2-3-1",1,1.8,"Jonas Hofmann · 90+1&rsquor;","0","0","https://fbref.com/en/matches/61782375/Union-Berlin-Monchengladbach-August-29-2021-Bundesliga","Union Berlin","Home","Andreas Voglsammer",9,"GER","FW","29-232",9,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,3,66.7,1,2,0,0,0
"Fußball-Bundesliga","2021-08-29","Fußball-Bundesliga (Matchweek 3)","Union Berlin","3-5-2",2,1.9,"Niko Gießelmann · 22&rsquor; Taiwo Awoniyi · 41&rsquor;","2","0","Mönchengladbach","4-2-3-1",1,1.8,"Jonas Hofmann · 90+1&rsquor;","0","0","https://fbref.com/en/matches/61782375/Union-Berlin-Monchengladbach-August-29-2021-Bundesliga","Union Berlin","Home","Genki Haraguchi",24,"JPN","CM","30-112",60,0,1,0,0,0,0,1,0,24,0,0,2,0,0,0.1,2,1,12,18,66.7,3,11,2,4,4
"Fußball-Bundesliga","2021-08-29","Fußball-Bundesliga (Matchweek 3)","Union Berlin","3-5-2",2,1.9,"Niko Gießelmann · 22&rsquor; Taiwo Awoniyi · 41&rsquor;","2","0","Mönchengladbach","4-2-3-1",1,1.8,"Jonas Hofmann · 90+1&rsquor;","0","0","https://fbref.com/en/matches/61782375/Union-Berlin-Monchengladbach-August-29-2021-Bundesliga","Union Berlin","Home","Julian Ryerson",6,"NOR","CM","23-285",30,0,0,0,0,2,0,0,0,16,1,2,0,0,0,0,2,0,7,9,77.8,1,6,0,0,0
"Fußball-Bundesliga","2021-08-29","Fußball-Bundesliga (Matchweek 3)","Union Berlin","3-5-2",2,1.9,"Niko Gießelmann · 22&rsquor; Taiwo Awoniyi · 41&rsquor;","2","0","Mönchengladbach","4-2-3-1",1,1.8,"Jonas Hofmann · 90+1&rsquor;","0","0","https://fbref.com/en/matches/61782375/Union-Berlin-Monchengladbach-August-29-2021-Bundesliga","Union Berlin","Home","Rani Khedira",8,"GER","CM","27-214",81,0,0,0,0,0,0,0,0,39,5,3,3,0,0,0,0,0,12,25,48,3,8,0,0,0
"Fußball-Bundesliga","2021-08-29","Fußball-Bundesliga (Matchweek 3)","Union Berlin","3-5-2",2,1.9,"Niko Gießelmann · 22&rsquor; Taiwo Awoniyi · 41&rsquor;","2","0","Mönchengladbach","4-2-3-1",1,1.8,"Jonas Hofmann · 90+1&rsquor;","0","0","https://fbref.com/en/matches/61782375/Union-Berlin-Monchengladbach-August-29-2021-Bundesliga","Union Berlin","Home","Sebastian Griesbeck",33,"GER","CM","30-330",9,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,100,1,0,0,0,0
"Fußball-Bundesliga","2021-08-29","Fußball-Bundesliga (Matchweek 3)","Union Berlin","3-5-2",2,1.9,"Niko Gießelmann · 22&rsquor; Taiwo Awoniyi · 41&rsquor;","2","0","Mönchengladbach","4-2-3-1",1,1.8,"Jonas Hofmann · 90+1&rsquor;","0","0","https://fbref.com/en/matches/61782375/Union-Berlin-Monchengladbach-August-29-2021-Bundesliga","Union Berlin","Home","Levin Öztunalı",7,"GER","CM","25-167",81,0,0,0,0,1,0,0,0,36,2,2,0,0.4,0.4,0,1,0,17,25,68,5,19,1,2,2
"Fußball-Bundesliga","2021-08-29","Fußball-Bundesliga (Matchweek 3)","Union Berlin","3-5-2",2,1.9,"Niko Gießelmann · 22&rsquor; Taiwo Awoniyi · 41&rsquor;","2","0","Mönchengladbach","4-2-3-1",1,1.8,"Jonas Hofmann · 90+1&rsquor;","0","0","https://fbref.com/en/matches/61782375/Union-Berlin-Monchengladbach-August-29-2021-Bundesliga","Union Berlin","Home","Cedric Teuchert",36,"GER","CM","24-227",9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,2,100,1,2,0,1,0
