"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Union Berlin","3-5-2",1,0.9,"Rani Khedira · 81&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.4,"","3","0","https://fbref.com/en/matches/878df9c3/Union-Berlin-Werder-Bremen-May-27-2023-Bundesliga","Union Berlin","Home","Kevin Behrens",17,"GER","FW","32-113",78,0,0,0,0,1,0,0,0,38,0,1,2,0.1,0.1,0,3,0,15,24,62.5,6,17,0,2,0
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Union Berlin","3-5-2",1,0.9,"Rani Khedira · 81&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.4,"","3","0","https://fbref.com/en/matches/878df9c3/Union-Berlin-Werder-Bremen-May-27-2023-Bundesliga","Union Berlin","Home","Jordan Pefok",45,"USA","FW","27-031",12,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,3,100,1,4,0,0,0
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Union Berlin","3-5-2",1,0.9,"Rani Khedira · 81&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.4,"","3","0","https://fbref.com/en/matches/878df9c3/Union-Berlin-Werder-Bremen-May-27-2023-Bundesliga","Union Berlin","Home","Sheraldo Becker",27,"SUR","FW","28-107",90,0,0,0,0,3,0,0,0,51,1,1,1,0.2,0.2,0,2,1,22,37,59.5,1,32,4,7,4
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Union Berlin","3-5-2",1,0.9,"Rani Khedira · 81&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.4,"","3","0","https://fbref.com/en/matches/878df9c3/Union-Berlin-Werder-Bremen-May-27-2023-Bundesliga","Union Berlin","Home","Janik Haberer",19,"GER","CM","29-055",62,0,0,0,0,1,1,0,0,31,1,0,0,0,0,0.1,1,0,17,22,77.3,6,18,1,2,0
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Union Berlin","3-5-2",1,0.9,"Rani Khedira · 81&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.4,"","3","0","https://fbref.com/en/matches/878df9c3/Union-Berlin-Werder-Bremen-May-27-2023-Bundesliga","Union Berlin","Home","Sven Michel",11,"GER","CM","32-316",28,0,1,0,0,2,0,0,0,18,0,0,0,0.1,0.1,0.1,1,1,9,14,64.3,0,6,2,0,0
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Union Berlin","3-5-2",1,0.9,"Rani Khedira · 81&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.4,"","3","0","https://fbref.com/en/matches/878df9c3/Union-Berlin-Werder-Bremen-May-27-2023-Bundesliga","Union Berlin","Home","Rani Khedira",8,"GER","CM","29-120",90,1,0,0,0,1,1,0,0,49,1,0,0,0.1,0.1,0.1,3,0,31,41,75.6,4,22,2,1,1
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Union Berlin","3-5-2",1,0.9,"Rani Khedira · 81&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.4,"","3","0","https://fbref.com/en/matches/878df9c3/Union-Berlin-Werder-Bremen-May-27-2023-Bundesliga","Union Berlin","Home","Aïssa Laïdouni",20,"TUN","CM","26-165",62,0,0,0,0,0,0,1,0,27,1,0,0,0,0,0,1,0,16,23,69.6,5,16,1,2,2
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Union Berlin","3-5-2",1,0.9,"Rani Khedira · 81&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.4,"","3","0","https://fbref.com/en/matches/878df9c3/Union-Berlin-Werder-Bremen-May-27-2023-Bundesliga","Union Berlin","Home","Paul Seguin",14,"GER","CM","28-059",28,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,1,0,16,18,88.9,9,12,0,0,0
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Union Berlin","3-5-2",1,0.9,"Rani Khedira · 81&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.4,"","3","0","https://fbref.com/en/matches/878df9c3/Union-Berlin-Werder-Bremen-May-27-2023-Bundesliga","Union Berlin","Home","Jérôme Roussillon",26,"FRA","WB","30-141",88,0,0,0,0,2,1,0,0,54,1,0,0,0.1,0.1,0,2,0,27,39,69.2,1,26,2,7,3
"Fußball-Bundesliga","2023-05-27","Fußball-Bundesliga (Matchweek 34)","Union Berlin","3-5-2",1,0.9,"Rani Khedira · 81&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.4,"","3","0","https://fbref.com/en/matches/878df9c3/Union-Berlin-Werder-Bremen-May-27-2023-Bundesliga","Union Berlin","Home","Niko Gießelmann",23,"GER","WB","31-243",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,50,0,2,0,0,0
