"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Union Berlin","3-5-2",2,0.9,"Taiwo Awoniyi · 49&rsquor; Sheraldo Becker · 82&rsquor;","3","0","Wolfsburg","4-2-3-1",0,1.5,"","1","0","https://fbref.com/en/matches/0e35371a/Union-Berlin-Wolfsburg-October-16-2021-Bundesliga","Union Berlin","Home","Max Kruse",10,"GER","FW","33-211",72,0,0,0,0,0,0,0,0,41,0,0,1,0,0,0.1,2,1,28,36,77.8,1,21,1,1,1
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Union Berlin","3-5-2",2,0.9,"Taiwo Awoniyi · 49&rsquor; Sheraldo Becker · 82&rsquor;","3","0","Wolfsburg","4-2-3-1",0,1.5,"","1","0","https://fbref.com/en/matches/0e35371a/Union-Berlin-Wolfsburg-October-16-2021-Bundesliga","Union Berlin","Home","Sheraldo Becker",27,"SUR","FW,RM","26-249",18,1,0,0,0,2,2,0,0,9,0,0,0,0.5,0.5,0,1,0,5,7,71.4,0,5,1,0,0
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Union Berlin","3-5-2",2,0.9,"Taiwo Awoniyi · 49&rsquor; Sheraldo Becker · 82&rsquor;","3","0","Wolfsburg","4-2-3-1",0,1.5,"","1","0","https://fbref.com/en/matches/0e35371a/Union-Berlin-Wolfsburg-October-16-2021-Bundesliga","Union Berlin","Home","Taiwo Awoniyi",14,"NGA","FW","24-065",83,1,0,0,0,1,1,0,0,25,0,0,1,0.2,0.2,0,1,1,8,13,61.5,2,13,2,1,1
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Union Berlin","3-5-2",2,0.9,"Taiwo Awoniyi · 49&rsquor; Sheraldo Becker · 82&rsquor;","3","0","Wolfsburg","4-2-3-1",0,1.5,"","1","0","https://fbref.com/en/matches/0e35371a/Union-Berlin-Wolfsburg-October-16-2021-Bundesliga","Union Berlin","Home","Kevin Behrens",17,"GER","FW","30-255",7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.3,1,0,2,3,66.7,1,0,0,0,0
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Union Berlin","3-5-2",2,0.9,"Taiwo Awoniyi · 49&rsquor; Sheraldo Becker · 82&rsquor;","3","0","Wolfsburg","4-2-3-1",0,1.5,"","1","0","https://fbref.com/en/matches/0e35371a/Union-Berlin-Wolfsburg-October-16-2021-Bundesliga","Union Berlin","Home","Grischa Prömel",21,"GER","CM","26-280",90,0,0,0,0,0,0,0,0,47,0,1,0,0,0,0,1,0,28,37,75.7,5,24,1,1,1
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Union Berlin","3-5-2",2,0.9,"Taiwo Awoniyi · 49&rsquor; Sheraldo Becker · 82&rsquor;","3","0","Wolfsburg","4-2-3-1",0,1.5,"","1","0","https://fbref.com/en/matches/0e35371a/Union-Berlin-Wolfsburg-October-16-2021-Bundesliga","Union Berlin","Home","Rani Khedira",8,"GER","CM","27-262",90,0,0,0,0,0,0,0,0,33,1,0,2,0,0,0,0,0,18,28,64.3,4,7,1,0,0
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Union Berlin","3-5-2",2,0.9,"Taiwo Awoniyi · 49&rsquor; Sheraldo Becker · 82&rsquor;","3","0","Wolfsburg","4-2-3-1",0,1.5,"","1","0","https://fbref.com/en/matches/0e35371a/Union-Berlin-Wolfsburg-October-16-2021-Bundesliga","Union Berlin","Home","Genki Haraguchi",24,"JPN","CM","30-160",72,0,1,0,0,0,0,0,0,36,3,0,1,0,0,0.2,1,1,23,28,82.1,5,14,0,0,0
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Union Berlin","3-5-2",2,0.9,"Taiwo Awoniyi · 49&rsquor; Sheraldo Becker · 82&rsquor;","3","0","Wolfsburg","4-2-3-1",0,1.5,"","1","0","https://fbref.com/en/matches/0e35371a/Union-Berlin-Wolfsburg-October-16-2021-Bundesliga","Union Berlin","Home","Andreas Voglsammer",9,"GER","CM,LM","29-280",18,0,1,0,0,1,0,0,0,6,1,0,0,0.1,0.1,0.2,1,1,3,3,100,1,3,1,1,1
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Union Berlin","3-5-2",2,0.9,"Taiwo Awoniyi · 49&rsquor; Sheraldo Becker · 82&rsquor;","3","0","Wolfsburg","4-2-3-1",0,1.5,"","1","0","https://fbref.com/en/matches/0e35371a/Union-Berlin-Wolfsburg-October-16-2021-Bundesliga","Union Berlin","Home","Niko Gießelmann",23,"GER","WB,LB","30-020",89,0,0,0,0,0,0,1,0,41,2,1,1,0,0,0,2,0,23,33,69.7,4,10,0,0,0
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Union Berlin","3-5-2",2,0.9,"Taiwo Awoniyi · 49&rsquor; Sheraldo Becker · 82&rsquor;","3","0","Wolfsburg","4-2-3-1",0,1.5,"","1","0","https://fbref.com/en/matches/0e35371a/Union-Berlin-Wolfsburg-October-16-2021-Bundesliga","Union Berlin","Home","Bastian Oczipka",20,"GER","LB","32-277",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0
