"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-09-18","Fußball-Bundesliga (Matchweek 7)","Union Berlin","3-5-2",2,1.4,"Jordan Pefok · 54&rsquor; Sheraldo Becker · 77&rsquor;","0","0","Wolfsburg","4-2-2-2",0,0.3,"","0","0","https://fbref.com/en/matches/894c69f9/Union-Berlin-Wolfsburg-September-18-2022-Bundesliga","Union Berlin","Home","Jordan Pefok",45,"USA","FW","26-145",86,1,0,0,0,5,1,0,0,26,1,1,3,0.3,0.3,0.1,3,0,9,13,69.2,0,8,0,0,0
"Fußball-Bundesliga","2022-09-18","Fußball-Bundesliga (Matchweek 7)","Union Berlin","3-5-2",2,1.4,"Jordan Pefok · 54&rsquor; Sheraldo Becker · 77&rsquor;","0","0","Wolfsburg","4-2-2-2",0,0.3,"","0","0","https://fbref.com/en/matches/894c69f9/Union-Berlin-Wolfsburg-September-18-2022-Bundesliga","Union Berlin","Home","Kevin Behrens",17,"GER","FW","31-227",4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,100,1,1,0,0,0
"Fußball-Bundesliga","2022-09-18","Fußball-Bundesliga (Matchweek 7)","Union Berlin","3-5-2",2,1.4,"Jordan Pefok · 54&rsquor; Sheraldo Becker · 77&rsquor;","0","0","Wolfsburg","4-2-2-2",0,0.3,"","0","0","https://fbref.com/en/matches/894c69f9/Union-Berlin-Wolfsburg-September-18-2022-Bundesliga","Union Berlin","Home","Sheraldo Becker",27,"SUR","FW","27-221",86,1,1,0,0,3,1,0,0,27,0,0,0,0.4,0.4,0.2,5,1,12,19,63.2,1,21,6,0,0
"Fußball-Bundesliga","2022-09-18","Fußball-Bundesliga (Matchweek 7)","Union Berlin","3-5-2",2,1.4,"Jordan Pefok · 54&rsquor; Sheraldo Becker · 77&rsquor;","0","0","Wolfsburg","4-2-2-2",0,0.3,"","0","0","https://fbref.com/en/matches/894c69f9/Union-Berlin-Wolfsburg-September-18-2022-Bundesliga","Union Berlin","Home","Sven Michel",11,"GER","FW","32-065",4,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,4,5,80,0,5,0,0,0
"Fußball-Bundesliga","2022-09-18","Fußball-Bundesliga (Matchweek 7)","Union Berlin","3-5-2",2,1.4,"Jordan Pefok · 54&rsquor; Sheraldo Becker · 77&rsquor;","0","0","Wolfsburg","4-2-2-2",0,0.3,"","0","0","https://fbref.com/en/matches/894c69f9/Union-Berlin-Wolfsburg-September-18-2022-Bundesliga","Union Berlin","Home","Janik Haberer",19,"GER","CM","28-169",61,0,0,0,0,1,1,0,0,32,1,0,0,0.1,0.1,0,3,0,18,24,75,2,19,0,1,1
"Fußball-Bundesliga","2022-09-18","Fußball-Bundesliga (Matchweek 7)","Union Berlin","3-5-2",2,1.4,"Jordan Pefok · 54&rsquor; Sheraldo Becker · 77&rsquor;","0","0","Wolfsburg","4-2-2-2",0,0.3,"","0","0","https://fbref.com/en/matches/894c69f9/Union-Berlin-Wolfsburg-September-18-2022-Bundesliga","Union Berlin","Home","Morten Thorsby",2,"NOR","CM","26-136",29,0,0,0,0,1,0,0,0,13,3,0,0,0.1,0.1,0,1,1,5,7,71.4,1,7,0,0,0
"Fußball-Bundesliga","2022-09-18","Fußball-Bundesliga (Matchweek 7)","Union Berlin","3-5-2",2,1.4,"Jordan Pefok · 54&rsquor; Sheraldo Becker · 77&rsquor;","0","0","Wolfsburg","4-2-2-2",0,0.3,"","0","0","https://fbref.com/en/matches/894c69f9/Union-Berlin-Wolfsburg-September-18-2022-Bundesliga","Union Berlin","Home","Rani Khedira",8,"GER","CM","28-234",90,0,0,0,0,1,0,0,0,37,1,1,1,0,0,0,0,0,18,28,64.3,2,22,0,0,0
"Fußball-Bundesliga","2022-09-18","Fußball-Bundesliga (Matchweek 7)","Union Berlin","3-5-2",2,1.4,"Jordan Pefok · 54&rsquor; Sheraldo Becker · 77&rsquor;","0","0","Wolfsburg","4-2-2-2",0,0.3,"","0","0","https://fbref.com/en/matches/894c69f9/Union-Berlin-Wolfsburg-September-18-2022-Bundesliga","Union Berlin","Home","András Schäfer",13,"HUN","CM","23-158",75,0,0,0,0,0,0,0,0,27,3,0,1,0,0,0.1,1,0,13,16,81.3,4,12,0,3,2
"Fußball-Bundesliga","2022-09-18","Fußball-Bundesliga (Matchweek 7)","Union Berlin","3-5-2",2,1.4,"Jordan Pefok · 54&rsquor; Sheraldo Becker · 77&rsquor;","0","0","Wolfsburg","4-2-2-2",0,0.3,"","0","0","https://fbref.com/en/matches/894c69f9/Union-Berlin-Wolfsburg-September-18-2022-Bundesliga","Union Berlin","Home","Paul Seguin",14,"GER","CM","27-173",15,0,1,0,0,1,0,0,0,10,0,0,0,0,0,0.4,1,1,8,9,88.9,2,7,0,1,1
"Fußball-Bundesliga","2022-09-18","Fußball-Bundesliga (Matchweek 7)","Union Berlin","3-5-2",2,1.4,"Jordan Pefok · 54&rsquor; Sheraldo Becker · 77&rsquor;","0","0","Wolfsburg","4-2-2-2",0,0.3,"","0","0","https://fbref.com/en/matches/894c69f9/Union-Berlin-Wolfsburg-September-18-2022-Bundesliga","Union Berlin","Home","Niko Gießelmann",23,"GER","WB","30-357",90,0,0,0,0,2,0,0,0,69,0,0,0,0,0,0.1,5,1,46,65,70.8,4,33,0,0,0
