"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Marvin Ducksch",7,"GER","FW","29-164",90,0,0,0,0,1,1,1,0,30,1,0,0,0.1,0.1,0.1,2,0,12,26,46.2,4,13,0,1,1
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Niclas Füllkrug",11,"GER","FW","30-190",90,0,0,0,0,1,0,0,0,30,1,0,0,0.1,0.1,0.2,3,0,15,22,68.2,4,16,1,1,0
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Anthony Jung",3,"GER","LW","31-288",78,0,0,0,0,0,0,0,0,29,2,0,2,0,0,0,0,0,13,21,61.9,0,16,1,0,0
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Leon Opitz",35,"GER","LW","18-129",12,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,1,4,25,0,5,1,1,0
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Mitchell Weiser",8,"GER","RW","29-119",58,0,0,0,0,1,0,0,0,29,5,0,1,0,0,0,2,0,8,16,50,2,13,1,1,1
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Oliver Burke",24,"SCO","RW","26-133",32,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6,12,50,0,7,2,1,1
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Leonardo Bittencourt",10,"GER","CM","29-242",67,0,0,0,0,1,0,0,0,23,4,0,1,0.2,0.2,0,1,0,13,14,92.9,4,15,0,0,0
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Romano Schmid",20,"AUT","CM","23-203",23,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0,4,5,80,1,6,0,1,0
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Jens Stage",6,"DEN","CM","26-283",78,0,0,0,0,1,0,0,0,24,1,1,0,0.1,0.1,0,1,0,12,17,70.6,0,11,0,0,0
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Dawid Kownacki",9,"POL","CM","26-157",12,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,2,2,100,0,0,0,0,0
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Senne Lynen",14,"BEL","DM","24-180",67,0,0,0,0,0,0,1,0,21,2,1,4,0,0,0,1,0,12,12,100,0,7,0,0,0
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Christian Groß",36,"GER","DM","34-191",23,0,0,0,0,0,0,0,0,8,2,0,1,0,0,0,0,0,5,5,100,1,2,1,0,0
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Marco Friedl",32,"AUT","CB","25-155",90,0,0,0,0,0,0,0,0,50,5,1,3,0,0,0,0,0,25,38,65.8,2,32,0,0,0
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Miloš Veljković",13,"SRB","CB","27-326",90,0,0,0,0,0,0,0,0,32,2,0,2,0,0,0,0,0,21,25,84,3,20,0,0,0
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Amos Pieper",5,"GER","CB","25-213",90,0,0,0,0,0,0,0,0,34,1,0,5,0,0,0,0,0,13,20,65,4,12,0,0,0
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Werder Bremen","Home","Jiří Pavlenka",1,"CZE","GK","31-126",90,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,29,36,80.6,0,19,0,0,0
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Bayern Munich","Away","Harry Kane",9,"ENG","FW","30-021",83,1,1,0,0,6,3,0,0,30,0,0,0,0.5,0.5,0.6,3,1,15,21,71.4,1,24,2,0,0
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Bayern Munich","Away","Mathys Tel",39,"FRA","FW","18-113",7,1,0,0,0,2,1,0,0,11,0,0,1,0.1,0.1,0,2,1,7,8,87.5,0,10,1,1,1
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Bayern Munich","Away","Kingsley Coman",11,"FRA","LW","27-066",83,0,0,0,0,2,0,0,0,60,0,0,1,0.1,0.1,0.2,6,1,42,51,82.4,4,54,7,3,1
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Bayern Munich","Away","Eric Maxim Choupo-Moting",13,"CMR","LW","34-148",7,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,6,6,100,1,8,0,4,1
"Fußball-Bundesliga","2023-08-18","Fußball-Bundesliga (Matchweek 1)","Werder Bremen","3-1-4-2",0,0.6,"","2","0","Bayern Munich","4-2-3-1",4,2.8,"Leroy Sané · 4&rsquor; Harry Kane · 74&rsquor; Leroy Sané · 90&rsquor; Mathys Tel · 90+4&rsquor;","1","0","https://fbref.com/en/matches/97218e9f/Werder-Bremen-Bayern-Munich-August-18-2023-Bundesliga","Bayern Munich","Away","Leroy Sané",10,"GER","RW","27-219",90,2,0,0,0,3,3,0,0,53,0,0,0,1.3,1.3,0.1,5,1,33,44,75,3,39,3,4,2
