"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 10&rsquor; Hugo Almeida · 75&rsquor;","1","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 25&rsquor; Ivica Olić · 35&rsquor; Arjen Robben · 78&rsquor;","2","0","https://fbref.com/en/matches/0f53d9b2/Werder-Bremen-Bayern-Munich-January-23-2010-Bundesliga","Werder Bremen","Home","Hugo Almeida",NA,"POR","FW","25-245",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 10&rsquor; Hugo Almeida · 75&rsquor;","1","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 25&rsquor; Ivica Olić · 35&rsquor; Arjen Robben · 78&rsquor;","2","0","https://fbref.com/en/matches/0f53d9b2/Werder-Bremen-Bayern-Munich-January-23-2010-Bundesliga","Werder Bremen","Home","Marko Marin",NA,"GER","FW,MF","20-316",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 10&rsquor; Hugo Almeida · 75&rsquor;","1","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 25&rsquor; Ivica Olić · 35&rsquor; Arjen Robben · 78&rsquor;","2","0","https://fbref.com/en/matches/0f53d9b2/Werder-Bremen-Bayern-Munich-January-23-2010-Bundesliga","Werder Bremen","Home","Mesut Özil",NA,"GER","MF","21-100",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 10&rsquor; Hugo Almeida · 75&rsquor;","1","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 25&rsquor; Ivica Olić · 35&rsquor; Arjen Robben · 78&rsquor;","2","0","https://fbref.com/en/matches/0f53d9b2/Werder-Bremen-Bayern-Munich-January-23-2010-Bundesliga","Werder Bremen","Home","Aaron Hunt",NA,"GER","FW,MF","23-141",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 10&rsquor; Hugo Almeida · 75&rsquor;","1","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 25&rsquor; Ivica Olić · 35&rsquor; Arjen Robben · 78&rsquor;","2","0","https://fbref.com/en/matches/0f53d9b2/Werder-Bremen-Bayern-Munich-January-23-2010-Bundesliga","Werder Bremen","Home","Tim Borowski",NA,"GER","MF","29-266",57,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 10&rsquor; Hugo Almeida · 75&rsquor;","1","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 25&rsquor; Ivica Olić · 35&rsquor; Arjen Robben · 78&rsquor;","2","0","https://fbref.com/en/matches/0f53d9b2/Werder-Bremen-Bayern-Munich-January-23-2010-Bundesliga","Werder Bremen","Home","Markus Rosenberg",NA,"SWE","FW","27-118",33,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 10&rsquor; Hugo Almeida · 75&rsquor;","1","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 25&rsquor; Ivica Olić · 35&rsquor; Arjen Robben · 78&rsquor;","2","0","https://fbref.com/en/matches/0f53d9b2/Werder-Bremen-Bayern-Munich-January-23-2010-Bundesliga","Werder Bremen","Home","Torsten Frings",NA,"GER","MF","33-062",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 10&rsquor; Hugo Almeida · 75&rsquor;","1","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 25&rsquor; Ivica Olić · 35&rsquor; Arjen Robben · 78&rsquor;","2","0","https://fbref.com/en/matches/0f53d9b2/Werder-Bremen-Bayern-Munich-January-23-2010-Bundesliga","Werder Bremen","Home","Aymen Abdennour",NA,"TUN","DF","20-170",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 10&rsquor; Hugo Almeida · 75&rsquor;","1","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 25&rsquor; Ivica Olić · 35&rsquor; Arjen Robben · 78&rsquor;","2","0","https://fbref.com/en/matches/0f53d9b2/Werder-Bremen-Bayern-Munich-January-23-2010-Bundesliga","Werder Bremen","Home","Naldo",NA,"BRA","DF","27-135",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Werder Bremen","4-1-2-1-2",2,NA,"Aaron Hunt · 10&rsquor; Hugo Almeida · 75&rsquor;","1","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 25&rsquor; Ivica Olić · 35&rsquor; Arjen Robben · 78&rsquor;","2","0","https://fbref.com/en/matches/0f53d9b2/Werder-Bremen-Bayern-Munich-January-23-2010-Bundesliga","Werder Bremen","Home","Per Mertesacker",NA,"GER","DF","25-116",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
