"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-08-28","Fußball-Bundesliga (Matchweek 4)","Werder Bremen","3-5-2",3,1.8,"Anthony Jung · 14&rsquor; Leonardo Bittencourt · 17&rsquor; Niclas Füllkrug (P) · 90+2&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",4,1.8,"Mario Götze · 2&rsquor; Randal Kolo Muani · 32&rsquor; Jesper Lindstrøm · 39&rsquor; Djibril Sow · 48&rsquor;","2","0","https://fbref.com/en/matches/2202b810/Werder-Bremen-Eintracht-Frankfurt-August-28-2022-Bundesliga","Werder Bremen","Home","Marvin Ducksch",7,"GER","FW","28-174",90,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,4,4,19,29,65.5,1,11,0,2,1
"Fußball-Bundesliga","2022-08-28","Fußball-Bundesliga (Matchweek 4)","Werder Bremen","3-5-2",3,1.8,"Anthony Jung · 14&rsquor; Leonardo Bittencourt · 17&rsquor; Niclas Füllkrug (P) · 90+2&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",4,1.8,"Mario Götze · 2&rsquor; Randal Kolo Muani · 32&rsquor; Jesper Lindstrøm · 39&rsquor; Djibril Sow · 48&rsquor;","2","0","https://fbref.com/en/matches/2202b810/Werder-Bremen-Eintracht-Frankfurt-August-28-2022-Bundesliga","Werder Bremen","Home","Niclas Füllkrug",11,"GER","FW","29-200",90,1,0,1,1,2,0,0,0,40,0,0,0,1.3,0.6,0.1,2,0,18,32,56.3,4,13,1,3,3
"Fußball-Bundesliga","2022-08-28","Fußball-Bundesliga (Matchweek 4)","Werder Bremen","3-5-2",3,1.8,"Anthony Jung · 14&rsquor; Leonardo Bittencourt · 17&rsquor; Niclas Füllkrug (P) · 90+2&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",4,1.8,"Mario Götze · 2&rsquor; Randal Kolo Muani · 32&rsquor; Jesper Lindstrøm · 39&rsquor; Djibril Sow · 48&rsquor;","2","0","https://fbref.com/en/matches/2202b810/Werder-Bremen-Eintracht-Frankfurt-August-28-2022-Bundesliga","Werder Bremen","Home","Jens Stage",6,"DEN","CM","25-293",64,0,0,0,0,1,0,0,0,28,1,1,1,0.1,0.1,0,0,0,9,22,40.9,3,5,1,1,1
"Fußball-Bundesliga","2022-08-28","Fußball-Bundesliga (Matchweek 4)","Werder Bremen","3-5-2",3,1.8,"Anthony Jung · 14&rsquor; Leonardo Bittencourt · 17&rsquor; Niclas Füllkrug (P) · 90+2&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",4,1.8,"Mario Götze · 2&rsquor; Randal Kolo Muani · 32&rsquor; Jesper Lindstrøm · 39&rsquor; Djibril Sow · 48&rsquor;","2","0","https://fbref.com/en/matches/2202b810/Werder-Bremen-Eintracht-Frankfurt-August-28-2022-Bundesliga","Werder Bremen","Home","Niklas Schmidt",22,"GER","CM","24-180",26,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.2,3,0,9,11,81.8,3,8,0,2,2
"Fußball-Bundesliga","2022-08-28","Fußball-Bundesliga (Matchweek 4)","Werder Bremen","3-5-2",3,1.8,"Anthony Jung · 14&rsquor; Leonardo Bittencourt · 17&rsquor; Niclas Füllkrug (P) · 90+2&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",4,1.8,"Mario Götze · 2&rsquor; Randal Kolo Muani · 32&rsquor; Jesper Lindstrøm · 39&rsquor; Djibril Sow · 48&rsquor;","2","0","https://fbref.com/en/matches/2202b810/Werder-Bremen-Eintracht-Frankfurt-August-28-2022-Bundesliga","Werder Bremen","Home","Christian Groß",36,"GER","CM","33-201",64,0,0,0,0,0,0,0,0,34,0,0,3,0,0,0,0,0,19,24,79.2,0,13,0,1,0
"Fußball-Bundesliga","2022-08-28","Fußball-Bundesliga (Matchweek 4)","Werder Bremen","3-5-2",3,1.8,"Anthony Jung · 14&rsquor; Leonardo Bittencourt · 17&rsquor; Niclas Füllkrug (P) · 90+2&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",4,1.8,"Mario Götze · 2&rsquor; Randal Kolo Muani · 32&rsquor; Jesper Lindstrøm · 39&rsquor; Djibril Sow · 48&rsquor;","2","0","https://fbref.com/en/matches/2202b810/Werder-Bremen-Eintracht-Frankfurt-August-28-2022-Bundesliga","Werder Bremen","Home","Ilia Gruev",28,"BUL","CM","22-114",26,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,15,17,88.2,2,8,0,0,0
"Fußball-Bundesliga","2022-08-28","Fußball-Bundesliga (Matchweek 4)","Werder Bremen","3-5-2",3,1.8,"Anthony Jung · 14&rsquor; Leonardo Bittencourt · 17&rsquor; Niclas Füllkrug (P) · 90+2&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",4,1.8,"Mario Götze · 2&rsquor; Randal Kolo Muani · 32&rsquor; Jesper Lindstrøm · 39&rsquor; Djibril Sow · 48&rsquor;","2","0","https://fbref.com/en/matches/2202b810/Werder-Bremen-Eintracht-Frankfurt-August-28-2022-Bundesliga","Werder Bremen","Home","Leonardo Bittencourt",10,"GER","CM","28-252",29,1,0,0,0,1,1,0,0,18,1,0,0,0,0,0,1,1,7,12,58.3,2,7,0,2,1
"Fußball-Bundesliga","2022-08-28","Fußball-Bundesliga (Matchweek 4)","Werder Bremen","3-5-2",3,1.8,"Anthony Jung · 14&rsquor; Leonardo Bittencourt · 17&rsquor; Niclas Füllkrug (P) · 90+2&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",4,1.8,"Mario Götze · 2&rsquor; Randal Kolo Muani · 32&rsquor; Jesper Lindstrøm · 39&rsquor; Djibril Sow · 48&rsquor;","2","0","https://fbref.com/en/matches/2202b810/Werder-Bremen-Eintracht-Frankfurt-August-28-2022-Bundesliga","Werder Bremen","Home","Romano Schmid",20,"AUT","CM","22-213",61,0,0,0,0,0,0,0,0,40,1,1,0,0,0,0.1,3,0,22,30,73.3,4,20,2,4,2
"Fußball-Bundesliga","2022-08-28","Fußball-Bundesliga (Matchweek 4)","Werder Bremen","3-5-2",3,1.8,"Anthony Jung · 14&rsquor; Leonardo Bittencourt · 17&rsquor; Niclas Füllkrug (P) · 90+2&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",4,1.8,"Mario Götze · 2&rsquor; Randal Kolo Muani · 32&rsquor; Jesper Lindstrøm · 39&rsquor; Djibril Sow · 48&rsquor;","2","0","https://fbref.com/en/matches/2202b810/Werder-Bremen-Eintracht-Frankfurt-August-28-2022-Bundesliga","Werder Bremen","Home","Anthony Jung",3,"GER","WB","30-298",64,1,0,0,0,1,1,0,0,54,1,1,3,0,0,0,0,0,35,42,83.3,3,22,1,0,0
"Fußball-Bundesliga","2022-08-28","Fußball-Bundesliga (Matchweek 4)","Werder Bremen","3-5-2",3,1.8,"Anthony Jung · 14&rsquor; Leonardo Bittencourt · 17&rsquor; Niclas Füllkrug (P) · 90+2&rsquor;","1","0","Eintracht Frankfurt","4-2-3-1",4,1.8,"Mario Götze · 2&rsquor; Randal Kolo Muani · 32&rsquor; Jesper Lindstrøm · 39&rsquor; Djibril Sow · 48&rsquor;","2","0","https://fbref.com/en/matches/2202b810/Werder-Bremen-Eintracht-Frankfurt-August-28-2022-Bundesliga","Werder Bremen","Home","Lee Buchanan",26,"ENG","WB","21-174",26,0,0,0,0,2,0,0,0,21,0,1,0,0.2,0.2,0,0,0,14,16,87.5,1,10,0,1,0
