"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Marvin Ducksch",7,"GER","FW","29-040",90,0,0,0,0,4,1,0,0,51,0,0,1,0.1,0.1,0,2,1,27,38,71.1,3,25,2,3,0
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Maximilian Philipp",17,"GER","FW","29-046",82,1,0,0,0,3,2,0,0,38,1,0,1,1.3,1.3,0,2,0,21,28,75,1,19,0,2,1
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Eren Dinkçi",21,"GER","FW","21-124",8,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,100,0,2,0,0,0
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Jens Stage",6,"DEN","CM","26-159",74,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,1,0,11,23,47.8,2,10,1,0,0
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Romano Schmid",20,"AUT","CM","23-079",16,0,0,0,0,3,2,0,0,17,0,0,0,0.1,0.1,0.1,3,0,9,12,75,2,10,1,0,0
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Christian Groß",36,"GER","CM","34-067",74,0,0,0,0,0,0,1,0,48,1,2,1,0,0,0,0,0,28,39,71.8,3,14,2,1,1
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Ilia Gruev",28,"BUL","CB,CM","22-345",16,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,16,18,88.9,1,12,0,0,0
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Leonardo Bittencourt",10,"GER","CM","29-118",76,0,1,0,0,0,0,0,0,51,3,0,1,0,0,0.9,4,1,33,41,80.5,10,33,5,5,3
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Niklas Schmidt",22,"GER","CM,AM","25-046",14,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,13,15,86.7,4,11,0,4,4
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Anthony Jung",3,"GER","WB","31-164",90,0,0,0,0,0,0,0,0,51,1,0,4,0,0,0.1,1,0,26,41,63.4,1,21,1,0,0
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Mitchell Weiser",8,"GER","WB","28-360",90,0,0,0,0,1,0,0,0,55,0,0,1,0.1,0.1,0.4,3,0,29,46,63,2,30,3,2,1
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Marco Friedl",32,"AUT","CB","25-031",90,0,0,0,0,0,0,0,0,64,2,3,1,0,0,0,2,0,46,55,83.6,3,32,0,1,0
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Miloš Veljković",13,"SRB","CB","27-202",90,0,0,0,0,0,0,0,0,94,0,1,1,0,0,0,2,0,65,85,76.5,9,64,0,0,0
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Niklas Stark",4,"GER","CB","28-002",82,0,0,0,0,0,0,1,0,56,3,2,1,0,0,0,1,0,35,43,81.4,3,25,0,0,0
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Amos Pieper",5,"GER","CM","25-089",8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.1,1,0,1,5,20,0,4,0,0,0
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Werder Bremen","Home","Jiří Pavlenka",1,"CZE","GK","31-002",90,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,24,42,57.1,0,31,0,0,0
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Freiburg","Away","Lucas Höler",9,"GER","FW","28-280",78,1,1,0,0,1,1,0,0,44,2,0,1,0,0,0.2,4,1,24,34,70.6,1,13,1,1,1
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Freiburg","Away","Kiliann Sildillia",25,"FRA","RB,FW","20-335",12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,6,66.7,0,3,0,1,1
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Freiburg","Away","Roland Sallai",22,"HUN","FW","25-329",84,1,1,0,0,2,1,1,0,35,0,0,0,0.5,0.5,0,3,1,17,27,63,1,25,2,0,0
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Freiburg","Away","Nils Petersen",18,"GER","FW","34-131",6,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,1,0,5,7,71.4,1,2,0,0,0
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Freiburg","Away","Vincenzo Grifo",32,"ITA","AM,LM","30-009",84,0,0,0,0,3,1,0,0,69,0,1,1,0.2,0.2,0,2,1,46,60,76.7,6,42,4,6,3
"Fußball-Bundesliga","2023-04-16","Fußball-Bundesliga (Matchweek 28)","Werder Bremen","3-5-2",1,1.7,"Maximilian Philipp · 46&rsquor;","2","0","Freiburg","4-2-2-2",2,0.8,"Roland Sallai · 66&rsquor; Lucas Höler · 71&rsquor;","3","0","https://fbref.com/en/matches/0bb9084f/Werder-Bremen-Freiburg-April-16-2023-Bundesliga","Freiburg","Away","Jeong Woo-yeong",29,"KOR","LM","23-208",6,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0,0,0,2,3,66.7,0,5,0,0,0
