"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Werder Bremen","3-1-4-2",2,0.8,"Romano Schmid · 17&rsquor; Jens Stage · 90+1&rsquor;","5","0","Hoffenheim","3-5-2",3,1.9,"Maximilian Beier · 8&rsquor; Grischa Prömel · 29&rsquor; Marius Bülter · 90+2&rsquor;","4","0","https://fbref.com/en/matches/0cff2d10/Werder-Bremen-Hoffenheim-October-7-2023-Bundesliga","Werder Bremen","Home","Marvin Ducksch",7,"GER","FW,LW","29-214",90,0,1,0,0,3,1,1,0,46,0,0,0,0.1,0.1,0.3,2,0,19,36,52.8,1,29,0,2,0
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Werder Bremen","3-1-4-2",2,0.8,"Romano Schmid · 17&rsquor; Jens Stage · 90+1&rsquor;","5","0","Hoffenheim","3-5-2",3,1.9,"Maximilian Beier · 8&rsquor; Grischa Prömel · 29&rsquor; Marius Bülter · 90+2&rsquor;","4","0","https://fbref.com/en/matches/0cff2d10/Werder-Bremen-Hoffenheim-October-7-2023-Bundesliga","Werder Bremen","Home","Justin Njinmah",17,"GER","FW","22-326",58,0,0,0,0,1,0,0,0,16,0,0,1,0,0,0.1,2,0,5,10,50,1,12,0,2,0
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Werder Bremen","3-1-4-2",2,0.8,"Romano Schmid · 17&rsquor; Jens Stage · 90+1&rsquor;","5","0","Hoffenheim","3-5-2",3,1.9,"Maximilian Beier · 8&rsquor; Grischa Prömel · 29&rsquor; Marius Bülter · 90+2&rsquor;","4","0","https://fbref.com/en/matches/0cff2d10/Werder-Bremen-Hoffenheim-October-7-2023-Bundesliga","Werder Bremen","Home","Rafael Borré",19,"COL","RW,FW","28-022",32,0,0,0,0,1,0,0,0,28,1,0,0,0,0,0,2,1,19,25,76,5,21,1,0,0
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Werder Bremen","3-1-4-2",2,0.8,"Romano Schmid · 17&rsquor; Jens Stage · 90+1&rsquor;","5","0","Hoffenheim","3-5-2",3,1.9,"Maximilian Beier · 8&rsquor; Grischa Prömel · 29&rsquor; Marius Bülter · 90+2&rsquor;","4","0","https://fbref.com/en/matches/0cff2d10/Werder-Bremen-Hoffenheim-October-7-2023-Bundesliga","Werder Bremen","Home","Anthony Jung",3,"GER","LW,CB,LM","31-338",90,0,0,0,0,0,0,1,0,51,1,0,0,0,0,0,0,0,35,46,76.1,3,31,1,0,0
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Werder Bremen","3-1-4-2",2,0.8,"Romano Schmid · 17&rsquor; Jens Stage · 90+1&rsquor;","5","0","Hoffenheim","3-5-2",3,1.9,"Maximilian Beier · 8&rsquor; Grischa Prömel · 29&rsquor; Marius Bülter · 90+2&rsquor;","4","0","https://fbref.com/en/matches/0cff2d10/Werder-Bremen-Hoffenheim-October-7-2023-Bundesliga","Werder Bremen","Home","Mitchell Weiser",8,"GER","RW,RM","29-169",90,0,0,0,0,1,0,1,0,59,2,0,2,0.1,0.1,0.1,5,1,36,48,75,5,32,2,1,1
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Werder Bremen","3-1-4-2",2,0.8,"Romano Schmid · 17&rsquor; Jens Stage · 90+1&rsquor;","5","0","Hoffenheim","3-5-2",3,1.9,"Maximilian Beier · 8&rsquor; Grischa Prömel · 29&rsquor; Marius Bülter · 90+2&rsquor;","4","0","https://fbref.com/en/matches/0cff2d10/Werder-Bremen-Hoffenheim-October-7-2023-Bundesliga","Werder Bremen","Home","Romano Schmid",20,"AUT","CM","23-253",90,1,0,0,0,4,1,0,0,69,2,0,1,0.4,0.4,0.2,6,0,45,52,86.5,4,53,2,5,3
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Werder Bremen","3-1-4-2",2,0.8,"Romano Schmid · 17&rsquor; Jens Stage · 90+1&rsquor;","5","0","Hoffenheim","3-5-2",3,1.9,"Maximilian Beier · 8&rsquor; Grischa Prömel · 29&rsquor; Marius Bülter · 90+2&rsquor;","4","0","https://fbref.com/en/matches/0cff2d10/Werder-Bremen-Hoffenheim-October-7-2023-Bundesliga","Werder Bremen","Home","Naby Keïta",18,"GUI","CM","28-239",58,0,0,0,0,0,0,1,0,31,0,1,1,0,0,0,1,0,18,26,69.2,3,21,0,0,0
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Werder Bremen","3-1-4-2",2,0.8,"Romano Schmid · 17&rsquor; Jens Stage · 90+1&rsquor;","5","0","Hoffenheim","3-5-2",3,1.9,"Maximilian Beier · 8&rsquor; Grischa Prömel · 29&rsquor; Marius Bülter · 90+2&rsquor;","4","0","https://fbref.com/en/matches/0cff2d10/Werder-Bremen-Hoffenheim-October-7-2023-Bundesliga","Werder Bremen","Home","Jens Stage",6,"DEN","CM","26-333",32,1,0,0,0,2,1,0,0,20,1,1,2,0.1,0.1,0,1,0,13,15,86.7,2,13,0,0,0
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Werder Bremen","3-1-4-2",2,0.8,"Romano Schmid · 17&rsquor; Jens Stage · 90+1&rsquor;","5","0","Hoffenheim","3-5-2",3,1.9,"Maximilian Beier · 8&rsquor; Grischa Prömel · 29&rsquor; Marius Bülter · 90+2&rsquor;","4","0","https://fbref.com/en/matches/0cff2d10/Werder-Bremen-Hoffenheim-October-7-2023-Bundesliga","Werder Bremen","Home","Senne Lynen",14,"BEL","DM","24-230",71,0,0,0,0,0,0,0,0,47,1,5,0,0,0,0,1,0,25,37,67.6,3,23,1,2,1
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Werder Bremen","3-1-4-2",2,0.8,"Romano Schmid · 17&rsquor; Jens Stage · 90+1&rsquor;","5","0","Hoffenheim","3-5-2",3,1.9,"Maximilian Beier · 8&rsquor; Grischa Prömel · 29&rsquor; Marius Bülter · 90+2&rsquor;","4","0","https://fbref.com/en/matches/0cff2d10/Werder-Bremen-Hoffenheim-October-7-2023-Bundesliga","Werder Bremen","Home","Nick Woltemade",29,"GER","FW","21-235",19,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0.1,2,0,10,12,83.3,0,16,0,0,0
