"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Werder Bremen","3-1-4-2",2,2.1,"Rafael Borré · 38&rsquor; Justin Njinmah · 67&rsquor;","2","0","Köln","4-2-3-1",1,1.3,"Davie Selke · 31&rsquor;","1","0","https://fbref.com/en/matches/b15270e1/Werder-Bremen-Koln-September-23-2023-Bundesliga","Werder Bremen","Home","Rafael Borré",19,"COL","FW","28-008",65,1,0,0,0,2,1,0,0,29,1,1,0,0.7,0.7,0.1,3,0,15,18,83.3,1,17,0,2,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Werder Bremen","3-1-4-2",2,2.1,"Rafael Borré · 38&rsquor; Justin Njinmah · 67&rsquor;","2","0","Köln","4-2-3-1",1,1.3,"Davie Selke · 31&rsquor;","1","0","https://fbref.com/en/matches/b15270e1/Werder-Bremen-Koln-September-23-2023-Bundesliga","Werder Bremen","Home","Justin Njinmah",17,"GER","FW","22-312",25,1,0,0,0,2,1,0,0,15,1,0,0,0.6,0.6,0.3,4,0,5,8,62.5,1,10,1,2,1
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Werder Bremen","3-1-4-2",2,2.1,"Rafael Borré · 38&rsquor; Justin Njinmah · 67&rsquor;","2","0","Köln","4-2-3-1",1,1.3,"Davie Selke · 31&rsquor;","1","0","https://fbref.com/en/matches/b15270e1/Werder-Bremen-Koln-September-23-2023-Bundesliga","Werder Bremen","Home","Marvin Ducksch",7,"GER","FW","29-200",79,0,1,0,0,2,1,0,0,46,0,0,0,0.3,0.3,0.7,8,1,23,40,57.5,7,22,0,2,1
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Werder Bremen","3-1-4-2",2,2.1,"Rafael Borré · 38&rsquor; Justin Njinmah · 67&rsquor;","2","0","Köln","4-2-3-1",1,1.3,"Davie Selke · 31&rsquor;","1","0","https://fbref.com/en/matches/b15270e1/Werder-Bremen-Koln-September-23-2023-Bundesliga","Werder Bremen","Home","Nick Woltemade",29,"GER","FW","21-221",11,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,1,0,6,7,85.7,0,5,0,2,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Werder Bremen","3-1-4-2",2,2.1,"Rafael Borré · 38&rsquor; Justin Njinmah · 67&rsquor;","2","0","Köln","4-2-3-1",1,1.3,"Davie Selke · 31&rsquor;","1","0","https://fbref.com/en/matches/b15270e1/Werder-Bremen-Koln-September-23-2023-Bundesliga","Werder Bremen","Home","Olivier Deman",2,"BEL","LW","23-170",79,0,0,0,0,2,1,0,0,51,3,0,3,0.1,0.1,0,3,0,31,40,77.5,4,32,0,1,1
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Werder Bremen","3-1-4-2",2,2.1,"Rafael Borré · 38&rsquor; Justin Njinmah · 67&rsquor;","2","0","Köln","4-2-3-1",1,1.3,"Davie Selke · 31&rsquor;","1","0","https://fbref.com/en/matches/b15270e1/Werder-Bremen-Koln-September-23-2023-Bundesliga","Werder Bremen","Home","Anthony Jung",3,"GER","LW","31-324",11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,100,0,1,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Werder Bremen","3-1-4-2",2,2.1,"Rafael Borré · 38&rsquor; Justin Njinmah · 67&rsquor;","2","0","Köln","4-2-3-1",1,1.3,"Davie Selke · 31&rsquor;","1","0","https://fbref.com/en/matches/b15270e1/Werder-Bremen-Koln-September-23-2023-Bundesliga","Werder Bremen","Home","Mitchell Weiser",8,"GER","RW","29-155",90,0,0,0,0,1,0,1,0,75,1,0,5,0.1,0.1,0.1,1,0,41,55,74.5,2,33,1,5,3
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Werder Bremen","3-1-4-2",2,2.1,"Rafael Borré · 38&rsquor; Justin Njinmah · 67&rsquor;","2","0","Köln","4-2-3-1",1,1.3,"Davie Selke · 31&rsquor;","1","0","https://fbref.com/en/matches/b15270e1/Werder-Bremen-Koln-September-23-2023-Bundesliga","Werder Bremen","Home","Jens Stage",6,"DEN","CM","26-319",90,0,0,0,0,1,0,0,0,44,0,1,1,0.1,0.1,0.1,3,0,21,40,52.5,0,15,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Werder Bremen","3-1-4-2",2,2.1,"Rafael Borré · 38&rsquor; Justin Njinmah · 67&rsquor;","2","0","Köln","4-2-3-1",1,1.3,"Davie Selke · 31&rsquor;","1","0","https://fbref.com/en/matches/b15270e1/Werder-Bremen-Koln-September-23-2023-Bundesliga","Werder Bremen","Home","Romano Schmid",20,"AUT","CM","23-239",89,0,0,0,0,2,2,0,0,66,4,0,1,0.1,0.1,0.3,7,2,31,45,68.9,6,49,8,10,6
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Werder Bremen","3-1-4-2",2,2.1,"Rafael Borré · 38&rsquor; Justin Njinmah · 67&rsquor;","2","0","Köln","4-2-3-1",1,1.3,"Davie Selke · 31&rsquor;","1","0","https://fbref.com/en/matches/b15270e1/Werder-Bremen-Koln-September-23-2023-Bundesliga","Werder Bremen","Home","Naby Keïta",18,"GUI","CM","28-225",1,0,0,0,0,2,0,0,0,3,0,0,0,0.1,0.1,0,0,0,1,1,100,0,2,0,0,0
