"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Werder Bremen","4-4-2",3,NA,"Claudio Pizarro · 21&rsquor; Claudio Pizarro · 38&rsquor; Naldo · 88&rsquor;","1","0","Mönchengladbach","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/402a1e52/Werder-Bremen-Monchengladbach-August-23-2009-Bundesliga","Werder Bremen","Home","Aaron Hunt",NA,"GER","FW,MF","22-353",65,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Werder Bremen","4-4-2",3,NA,"Claudio Pizarro · 21&rsquor; Claudio Pizarro · 38&rsquor; Naldo · 88&rsquor;","1","0","Mönchengladbach","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/402a1e52/Werder-Bremen-Monchengladbach-August-23-2009-Bundesliga","Werder Bremen","Home","Hugo Almeida",NA,"POR","FW","25-092",25,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Werder Bremen","4-4-2",3,NA,"Claudio Pizarro · 21&rsquor; Claudio Pizarro · 38&rsquor; Naldo · 88&rsquor;","1","0","Mönchengladbach","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/402a1e52/Werder-Bremen-Monchengladbach-August-23-2009-Bundesliga","Werder Bremen","Home","Claudio Pizarro",NA,"PER","FW","30-324",90,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Werder Bremen","4-4-2",3,NA,"Claudio Pizarro · 21&rsquor; Claudio Pizarro · 38&rsquor; Naldo · 88&rsquor;","1","0","Mönchengladbach","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/402a1e52/Werder-Bremen-Monchengladbach-August-23-2009-Bundesliga","Werder Bremen","Home","Mesut Özil",NA,"GER","MF","20-312",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Werder Bremen","4-4-2",3,NA,"Claudio Pizarro · 21&rsquor; Claudio Pizarro · 38&rsquor; Naldo · 88&rsquor;","1","0","Mönchengladbach","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/402a1e52/Werder-Bremen-Monchengladbach-August-23-2009-Bundesliga","Werder Bremen","Home","Tim Borowski",NA,"GER","MF","29-113",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Werder Bremen","4-4-2",3,NA,"Claudio Pizarro · 21&rsquor; Claudio Pizarro · 38&rsquor; Naldo · 88&rsquor;","1","0","Mönchengladbach","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/402a1e52/Werder-Bremen-Monchengladbach-August-23-2009-Bundesliga","Werder Bremen","Home","Torsten Frings",NA,"GER","MF","32-274",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Werder Bremen","4-4-2",3,NA,"Claudio Pizarro · 21&rsquor; Claudio Pizarro · 38&rsquor; Naldo · 88&rsquor;","1","0","Mönchengladbach","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/402a1e52/Werder-Bremen-Monchengladbach-August-23-2009-Bundesliga","Werder Bremen","Home","Marko Marin",NA,"GER","FW,MF","20-163",83,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Werder Bremen","4-4-2",3,NA,"Claudio Pizarro · 21&rsquor; Claudio Pizarro · 38&rsquor; Naldo · 88&rsquor;","1","0","Mönchengladbach","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/402a1e52/Werder-Bremen-Monchengladbach-August-23-2009-Bundesliga","Werder Bremen","Home","Philipp Bargfrede",NA,"GER","MF","20-173",7,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Werder Bremen","4-4-2",3,NA,"Claudio Pizarro · 21&rsquor; Claudio Pizarro · 38&rsquor; Naldo · 88&rsquor;","1","0","Mönchengladbach","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/402a1e52/Werder-Bremen-Monchengladbach-August-23-2009-Bundesliga","Werder Bremen","Home","Sebastian Boenisch",NA,"POL","DF","22-203",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Werder Bremen","4-4-2",3,NA,"Claudio Pizarro · 21&rsquor; Claudio Pizarro · 38&rsquor; Naldo · 88&rsquor;","1","0","Mönchengladbach","4-3-3",0,NA,"","3","0","https://fbref.com/en/matches/402a1e52/Werder-Bremen-Monchengladbach-August-23-2009-Bundesliga","Werder Bremen","Home","Naldo",NA,"BRA","DF","26-347",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
