"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Werder Bremen","3-5-2",5,1.9,"Niclas Füllkrug · 5&rsquor; Marvin Ducksch · 8&rsquor; Niclas Füllkrug · 13&rsquor; Ramy Bensebaini (OG) · 37&rsquor; Mitchell Weiser · 73&rsquor;","0","0","Mönchengladbach","4-2-3-1",1,2.3,"Marcus Thuram · 63&rsquor;","1","0","https://fbref.com/en/matches/348d53fd/Werder-Bremen-Monchengladbach-October-1-2022-Bundesliga","Werder Bremen","Home","Marvin Ducksch",7,"GER","FW","28-208",71,1,1,0,0,5,3,0,0,37,0,0,1,0.5,0.5,0.6,7,2,17,28,60.7,1,19,4,2,1
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Werder Bremen","3-5-2",5,1.9,"Niclas Füllkrug · 5&rsquor; Marvin Ducksch · 8&rsquor; Niclas Füllkrug · 13&rsquor; Ramy Bensebaini (OG) · 37&rsquor; Mitchell Weiser · 73&rsquor;","0","0","Mönchengladbach","4-2-3-1",1,2.3,"Marcus Thuram · 63&rsquor;","1","0","https://fbref.com/en/matches/348d53fd/Werder-Bremen-Monchengladbach-October-1-2022-Bundesliga","Werder Bremen","Home","Oliver Burke",9,"SCO","FW","25-177",19,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,3,4,75,0,4,1,0,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Werder Bremen","3-5-2",5,1.9,"Niclas Füllkrug · 5&rsquor; Marvin Ducksch · 8&rsquor; Niclas Füllkrug · 13&rsquor; Ramy Bensebaini (OG) · 37&rsquor; Mitchell Weiser · 73&rsquor;","0","0","Mönchengladbach","4-2-3-1",1,2.3,"Marcus Thuram · 63&rsquor;","1","0","https://fbref.com/en/matches/348d53fd/Werder-Bremen-Monchengladbach-October-1-2022-Bundesliga","Werder Bremen","Home","Niclas Füllkrug",11,"GER","FW","29-234",90,2,1,0,0,3,2,0,0,40,0,0,0,0.7,0.7,0.4,5,1,13,27,48.1,5,27,3,4,3
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Werder Bremen","3-5-2",5,1.9,"Niclas Füllkrug · 5&rsquor; Marvin Ducksch · 8&rsquor; Niclas Füllkrug · 13&rsquor; Ramy Bensebaini (OG) · 37&rsquor; Mitchell Weiser · 73&rsquor;","0","0","Mönchengladbach","4-2-3-1",1,2.3,"Marcus Thuram · 63&rsquor;","1","0","https://fbref.com/en/matches/348d53fd/Werder-Bremen-Monchengladbach-October-1-2022-Bundesliga","Werder Bremen","Home","Ilia Gruev",28,"BUL","CM","22-148",76,0,0,0,0,0,0,0,0,31,2,2,0,0,0,0,0,0,19,21,90.5,0,13,0,0,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Werder Bremen","3-5-2",5,1.9,"Niclas Füllkrug · 5&rsquor; Marvin Ducksch · 8&rsquor; Niclas Füllkrug · 13&rsquor; Ramy Bensebaini (OG) · 37&rsquor; Mitchell Weiser · 73&rsquor;","0","0","Mönchengladbach","4-2-3-1",1,2.3,"Marcus Thuram · 63&rsquor;","1","0","https://fbref.com/en/matches/348d53fd/Werder-Bremen-Monchengladbach-October-1-2022-Bundesliga","Werder Bremen","Home","Nicolai Rapp",23,"GER","CM,CB","25-292",14,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,19,20,95,1,14,0,0,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Werder Bremen","3-5-2",5,1.9,"Niclas Füllkrug · 5&rsquor; Marvin Ducksch · 8&rsquor; Niclas Füllkrug · 13&rsquor; Ramy Bensebaini (OG) · 37&rsquor; Mitchell Weiser · 73&rsquor;","0","0","Mönchengladbach","4-2-3-1",1,2.3,"Marcus Thuram · 63&rsquor;","1","0","https://fbref.com/en/matches/348d53fd/Werder-Bremen-Monchengladbach-October-1-2022-Bundesliga","Werder Bremen","Home","Christian Groß",36,"GER","CM","33-235",76,0,0,0,0,0,0,0,0,42,2,1,1,0,0,0.3,4,0,35,38,92.1,4,21,2,1,1
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Werder Bremen","3-5-2",5,1.9,"Niclas Füllkrug · 5&rsquor; Marvin Ducksch · 8&rsquor; Niclas Füllkrug · 13&rsquor; Ramy Bensebaini (OG) · 37&rsquor; Mitchell Weiser · 73&rsquor;","0","0","Mönchengladbach","4-2-3-1",1,2.3,"Marcus Thuram · 63&rsquor;","1","0","https://fbref.com/en/matches/348d53fd/Werder-Bremen-Monchengladbach-October-1-2022-Bundesliga","Werder Bremen","Home","Leonardo Bittencourt",10,"GER","CM","28-286",14,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,6,8,75,0,6,0,0,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Werder Bremen","3-5-2",5,1.9,"Niclas Füllkrug · 5&rsquor; Marvin Ducksch · 8&rsquor; Niclas Füllkrug · 13&rsquor; Ramy Bensebaini (OG) · 37&rsquor; Mitchell Weiser · 73&rsquor;","0","0","Mönchengladbach","4-2-3-1",1,2.3,"Marcus Thuram · 63&rsquor;","1","0","https://fbref.com/en/matches/348d53fd/Werder-Bremen-Monchengladbach-October-1-2022-Bundesliga","Werder Bremen","Home","Romano Schmid",20,"AUT","CM","22-247",71,0,1,0,0,0,0,0,0,41,2,0,1,0,0,0.2,1,1,21,31,67.7,0,24,1,4,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Werder Bremen","3-5-2",5,1.9,"Niclas Füllkrug · 5&rsquor; Marvin Ducksch · 8&rsquor; Niclas Füllkrug · 13&rsquor; Ramy Bensebaini (OG) · 37&rsquor; Mitchell Weiser · 73&rsquor;","0","0","Mönchengladbach","4-2-3-1",1,2.3,"Marcus Thuram · 63&rsquor;","1","0","https://fbref.com/en/matches/348d53fd/Werder-Bremen-Monchengladbach-October-1-2022-Bundesliga","Werder Bremen","Home","Jens Stage",6,"DEN","CM","25-327",19,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,9,10,90,1,7,1,0,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Werder Bremen","3-5-2",5,1.9,"Niclas Füllkrug · 5&rsquor; Marvin Ducksch · 8&rsquor; Niclas Füllkrug · 13&rsquor; Ramy Bensebaini (OG) · 37&rsquor; Mitchell Weiser · 73&rsquor;","0","0","Mönchengladbach","4-2-3-1",1,2.3,"Marcus Thuram · 63&rsquor;","1","0","https://fbref.com/en/matches/348d53fd/Werder-Bremen-Monchengladbach-October-1-2022-Bundesliga","Werder Bremen","Home","Anthony Jung",3,"GER","WB","30-332",90,0,0,0,0,2,1,0,0,57,2,0,2,0.3,0.3,0,1,0,40,50,80,0,33,0,2,2
