"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Werder Bremen","3-1-4-2",2,2.2,"Niclas Füllkrug (P) · 24&rsquor; Niclas Füllkrug · 77&rsquor;","3","0","Wolfsburg","4-5-1",1,0.7,"Kevin Paredes · 90&rsquor;","3","0","https://fbref.com/en/matches/9369ff0a/Werder-Bremen-Wolfsburg-January-28-2023-Bundesliga","Werder Bremen","Home","Marvin Ducksch",7,"GER","FW","28-327",70,0,0,0,0,3,0,0,0,36,0,0,0,0.1,0.1,0.4,6,1,22,29,75.9,0,20,0,0,0
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Werder Bremen","3-1-4-2",2,2.2,"Niclas Füllkrug (P) · 24&rsquor; Niclas Füllkrug · 77&rsquor;","3","0","Wolfsburg","4-5-1",1,0.7,"Kevin Paredes · 90&rsquor;","3","0","https://fbref.com/en/matches/9369ff0a/Werder-Bremen-Wolfsburg-January-28-2023-Bundesliga","Werder Bremen","Home","Eren Dinkçi",21,"GER","FW","21-046",20,0,0,0,0,1,0,0,0,12,0,0,0,0.2,0.2,0,1,1,5,6,83.3,0,9,0,0,0
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Werder Bremen","3-1-4-2",2,2.2,"Niclas Füllkrug (P) · 24&rsquor; Niclas Füllkrug · 77&rsquor;","3","0","Wolfsburg","4-5-1",1,0.7,"Kevin Paredes · 90&rsquor;","3","0","https://fbref.com/en/matches/9369ff0a/Werder-Bremen-Wolfsburg-January-28-2023-Bundesliga","Werder Bremen","Home","Niclas Füllkrug",11,"GER","FW","29-353",90,2,0,1,1,4,2,0,0,47,0,0,0,1.4,0.6,0,1,0,17,33,51.5,5,28,0,1,1
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Werder Bremen","3-1-4-2",2,2.2,"Niclas Füllkrug (P) · 24&rsquor; Niclas Füllkrug · 77&rsquor;","3","0","Wolfsburg","4-5-1",1,0.7,"Kevin Paredes · 90&rsquor;","3","0","https://fbref.com/en/matches/9369ff0a/Werder-Bremen-Wolfsburg-January-28-2023-Bundesliga","Werder Bremen","Home","Anthony Jung",3,"GER","LW","31-086",70,0,0,0,0,0,0,0,0,50,0,0,1,0,0,0.1,1,0,31,43,72.1,2,24,0,2,1
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Werder Bremen","3-1-4-2",2,2.2,"Niclas Füllkrug (P) · 24&rsquor; Niclas Füllkrug · 77&rsquor;","3","0","Wolfsburg","4-5-1",1,0.7,"Kevin Paredes · 90&rsquor;","3","0","https://fbref.com/en/matches/9369ff0a/Werder-Bremen-Wolfsburg-January-28-2023-Bundesliga","Werder Bremen","Home","Lee Buchanan",26,"ENG","LW","21-327",20,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0.2,1,0,6,9,66.7,3,10,2,1,0
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Werder Bremen","3-1-4-2",2,2.2,"Niclas Füllkrug (P) · 24&rsquor; Niclas Füllkrug · 77&rsquor;","3","0","Wolfsburg","4-5-1",1,0.7,"Kevin Paredes · 90&rsquor;","3","0","https://fbref.com/en/matches/9369ff0a/Werder-Bremen-Wolfsburg-January-28-2023-Bundesliga","Werder Bremen","Home","Mitchell Weiser",8,"GER","RW","28-282",90,0,1,0,0,1,0,1,0,60,2,2,1,0.1,0.1,0.4,5,1,31,44,70.5,3,29,2,3,0
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Werder Bremen","3-1-4-2",2,2.2,"Niclas Füllkrug (P) · 24&rsquor; Niclas Füllkrug · 77&rsquor;","3","0","Wolfsburg","4-5-1",1,0.7,"Kevin Paredes · 90&rsquor;","3","0","https://fbref.com/en/matches/9369ff0a/Werder-Bremen-Wolfsburg-January-28-2023-Bundesliga","Werder Bremen","Home","Niklas Schmidt",22,"GER","CM","24-333",61,0,0,0,0,1,0,0,0,32,1,1,1,0,0,0.2,4,0,21,27,77.8,4,28,2,0,0
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Werder Bremen","3-1-4-2",2,2.2,"Niclas Füllkrug (P) · 24&rsquor; Niclas Füllkrug · 77&rsquor;","3","0","Wolfsburg","4-5-1",1,0.7,"Kevin Paredes · 90&rsquor;","3","0","https://fbref.com/en/matches/9369ff0a/Werder-Bremen-Wolfsburg-January-28-2023-Bundesliga","Werder Bremen","Home","Ilia Gruev",28,"BUL","CM","22-267",29,0,0,0,0,0,0,0,0,20,2,2,1,0,0,0,1,0,7,12,58.3,2,8,2,0,0
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Werder Bremen","3-1-4-2",2,2.2,"Niclas Füllkrug (P) · 24&rsquor; Niclas Füllkrug · 77&rsquor;","3","0","Wolfsburg","4-5-1",1,0.7,"Kevin Paredes · 90&rsquor;","3","0","https://fbref.com/en/matches/9369ff0a/Werder-Bremen-Wolfsburg-January-28-2023-Bundesliga","Werder Bremen","Home","Jens Stage",6,"DEN","CM","26-081",80,0,0,0,0,1,1,0,0,43,2,1,1,0.1,0.1,0.1,2,0,27,35,77.1,4,23,1,1,1
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Werder Bremen","3-1-4-2",2,2.2,"Niclas Füllkrug (P) · 24&rsquor; Niclas Füllkrug · 77&rsquor;","3","0","Wolfsburg","4-5-1",1,0.7,"Kevin Paredes · 90&rsquor;","3","0","https://fbref.com/en/matches/9369ff0a/Werder-Bremen-Wolfsburg-January-28-2023-Bundesliga","Werder Bremen","Home","Miloš Veljković",13,"SRB","CM","27-124",10,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Werder Bremen","3-1-4-2",2,2.2,"Niclas Füllkrug (P) · 24&rsquor; Niclas Füllkrug · 77&rsquor;","3","0","Wolfsburg","4-5-1",1,0.7,"Kevin Paredes · 90&rsquor;","3","0","https://fbref.com/en/matches/9369ff0a/Werder-Bremen-Wolfsburg-January-28-2023-Bundesliga","Werder Bremen","Home","Christian Groß",36,"GER","DM","33-354",90,0,0,0,0,0,0,0,0,40,4,1,1,0,0,0,3,0,21,28,75,4,18,1,1,1
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Werder Bremen","3-1-4-2",2,2.2,"Niclas Füllkrug (P) · 24&rsquor; Niclas Füllkrug · 77&rsquor;","3","0","Wolfsburg","4-5-1",1,0.7,"Kevin Paredes · 90&rsquor;","3","0","https://fbref.com/en/matches/9369ff0a/Werder-Bremen-Wolfsburg-January-28-2023-Bundesliga","Werder Bremen","Home","Marco Friedl",32,"AUT","CB","24-318",90,0,0,0,0,1,1,1,0,54,0,0,1,0.2,0.2,0,1,0,35,46,76.1,1,32,0,0,0
"Fußball-Bundesliga","2023-01-28","Fußball-Bundesliga (Matchweek 18)","Werder Bremen","3-1-4-2",2,2.2,"Niclas Füllkrug (P) · 24&rsquor; Niclas Füllkrug · 77&rsquor;","3","0","Wolfsburg","4-5-1",1,0.7,"Kevin Paredes · 90&rsquor;","3","0","https://fbref.com/en/matches/9369ff0a/Werder-Bremen-Wolfsburg-January-28-2023-Bundesliga","Werder Bremen","Home","Niklas Stark",4,"GER","CB","27-289",90,0,0,0,0,0,0,1,0,50,1,5,1,0,0,0.1,1,0,27,31,87.1,3,18,0,0,0
