"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Wolfsburg","Home","Edin Džeko",NA,"BIH","FW","23-326",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Wolfsburg","Home","Grafite",NA,"BRA","FW","30-310",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Wolfsburg","Home","Zvjezdan Misimović",NA,"BIH","MF","27-246",70,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Wolfsburg","Home","Thomas Kahlenberg",NA,"DEN","MF","26-323",20,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Wolfsburg","Home","Christian Gentner",NA,"GER","MF","24-176",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Wolfsburg","Home","Makoto Hasebe",NA,"JPN","DF,MF","26-019",60,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Wolfsburg","Home","Peter Pekarík",NA,"SVK","DF","23-099",30,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Wolfsburg","Home","Josué",NA,"BRA","MF","30-202",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Wolfsburg","Home","Marcel Schäfer",NA,"GER","DF,MF","25-244",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Wolfsburg","Home","Andrea Barzagli",NA,"ITA","DF","28-274",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Wolfsburg","Home","Alexander Madlung",NA,"GER","DF","27-210",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Wolfsburg","Home","Sascha Riether",NA,"GER","DF,MF","26-320",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Wolfsburg","Home","André Lenz",NA,"GER","GK","36-079",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Bayern Munich","Away","Ivica Olić",NA,"CRO","FW","30-145",45,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Bayern Munich","Away","Franck Ribéry",NA,"FRA","FW,MF","26-305",45,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Bayern Munich","Away","Mario Gómez",NA,"GER","FW","24-211",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Bayern Munich","Away","Thomas Müller",NA,"GER","FW,MF","20-146",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Bayern Munich","Away","Mark van Bommel",NA,"NED","MF","32-290",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Bayern Munich","Away","Bastian Schweinsteiger",NA,"GER","DF,MF","25-189",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Bayern Munich","Away","Arjen Robben",NA,"NED","FW,MF","26-014",80,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Bayern Munich","Away","Miroslav Klose",NA,"GER","FW","31-242",10,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Bayern Munich","Away","Holger Badstuber",NA,"GER","DF","20-330",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Bayern Munich","Away","Martín Demichelis",NA,"ARG","DF,MF","29-048",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Bayern Munich","Away","Daniel Van Buyten",NA,"BEL","DF","31-364",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Bayern Munich","Away","Philipp Lahm",NA,"GER","DF,MF","26-087",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","4-1-2-1-2",1,NA,"Grafite · 90&rsquor;","2","0","Bayern Munich","4-4-2",3,NA,"Arjen Robben · 2&rsquor; Daniel Van Buyten · 26&rsquor; Franck Ribéry · 57&rsquor;","2","0","https://fbref.com/en/matches/179a0cae/Wolfsburg-Bayern-Munich-February-6-2010-Bundesliga","Bayern Munich","Away","Hans-Jörg Butt",NA,"GER","GK","35-254",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
