"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Wolfsburg","4-2-3-1",1,NA,"Sascha Riether · 86&rsquor;","2","0","Bayern Munich","4-2-3-1",1,NA,"Thomas Müller · 7&rsquor;","2","0","https://fbref.com/en/matches/15ba42f4/Wolfsburg-Bayern-Munich-January-15-2011-Bundesliga","Wolfsburg","Home","Grafite",NA,"BRA","FW","31-288",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Wolfsburg","4-2-3-1",1,NA,"Sascha Riether · 86&rsquor;","2","0","Bayern Munich","4-2-3-1",1,NA,"Thomas Müller · 7&rsquor;","2","0","https://fbref.com/en/matches/15ba42f4/Wolfsburg-Bayern-Munich-January-15-2011-Bundesliga","Wolfsburg","Home","Mario Mandžukić",NA,"CRO","FW,MF","24-239",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Wolfsburg","4-2-3-1",1,NA,"Sascha Riether · 86&rsquor;","2","0","Bayern Munich","4-2-3-1",1,NA,"Thomas Müller · 7&rsquor;","2","0","https://fbref.com/en/matches/15ba42f4/Wolfsburg-Bayern-Munich-January-15-2011-Bundesliga","Wolfsburg","Home","Ashkan Dejagah",NA,"IRN","FW,MF","24-194",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Wolfsburg","4-2-3-1",1,NA,"Sascha Riether · 86&rsquor;","2","0","Bayern Munich","4-2-3-1",1,NA,"Thomas Müller · 7&rsquor;","2","0","https://fbref.com/en/matches/15ba42f4/Wolfsburg-Bayern-Munich-January-15-2011-Bundesliga","Wolfsburg","Home","Diego",NA,"BRA","MF","25-321",87,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Wolfsburg","4-2-3-1",1,NA,"Sascha Riether · 86&rsquor;","2","0","Bayern Munich","4-2-3-1",1,NA,"Thomas Müller · 7&rsquor;","2","0","https://fbref.com/en/matches/15ba42f4/Wolfsburg-Bayern-Munich-January-15-2011-Bundesliga","Wolfsburg","Home","Thomas Kahlenberg",NA,"DEN","MF","27-301",3,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Wolfsburg","4-2-3-1",1,NA,"Sascha Riether · 86&rsquor;","2","0","Bayern Munich","4-2-3-1",1,NA,"Thomas Müller · 7&rsquor;","2","0","https://fbref.com/en/matches/15ba42f4/Wolfsburg-Bayern-Munich-January-15-2011-Bundesliga","Wolfsburg","Home","Cícero Santos",NA,"BRA","MF","26-142",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Wolfsburg","4-2-3-1",1,NA,"Sascha Riether · 86&rsquor;","2","0","Bayern Munich","4-2-3-1",1,NA,"Thomas Müller · 7&rsquor;","2","0","https://fbref.com/en/matches/15ba42f4/Wolfsburg-Bayern-Munich-January-15-2011-Bundesliga","Wolfsburg","Home","Tolga Ciğerci",NA,"TUR","MF","18-298",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Wolfsburg","4-2-3-1",1,NA,"Sascha Riether · 86&rsquor;","2","0","Bayern Munich","4-2-3-1",1,NA,"Thomas Müller · 7&rsquor;","2","0","https://fbref.com/en/matches/15ba42f4/Wolfsburg-Bayern-Munich-January-15-2011-Bundesliga","Wolfsburg","Home","Josué",NA,"BRA","MF","31-180",68,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Wolfsburg","4-2-3-1",1,NA,"Sascha Riether · 86&rsquor;","2","0","Bayern Munich","4-2-3-1",1,NA,"Thomas Müller · 7&rsquor;","2","0","https://fbref.com/en/matches/15ba42f4/Wolfsburg-Bayern-Munich-January-15-2011-Bundesliga","Wolfsburg","Home","Peter Pekarík",NA,"SVK","DF","24-077",22,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Wolfsburg","4-2-3-1",1,NA,"Sascha Riether · 86&rsquor;","2","0","Bayern Munich","4-2-3-1",1,NA,"Thomas Müller · 7&rsquor;","2","0","https://fbref.com/en/matches/15ba42f4/Wolfsburg-Bayern-Munich-January-15-2011-Bundesliga","Wolfsburg","Home","Marcel Schäfer",NA,"GER","DF,MF","26-222",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
