"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Wolfsburg","4-5-1",2,2.4,"Micky van de Ven · 6&rsquor; Lukas Nmecha · 90+1&rsquor;","3","0","Dortmund","4-2-3-1",0,1.6,"","2","0","https://fbref.com/en/matches/c2157a06/Wolfsburg-Dortmund-November-8-2022-Bundesliga","Wolfsburg","Home","Jonas Wind",23,"DEN","FW","23-274",74,0,0,0,0,5,1,0,0,30,1,0,0,0.5,0.5,0.2,7,1,14,18,77.8,4,16,0,2,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Wolfsburg","4-5-1",2,2.4,"Micky van de Ven · 6&rsquor; Lukas Nmecha · 90+1&rsquor;","3","0","Dortmund","4-2-3-1",0,1.6,"","2","0","https://fbref.com/en/matches/c2157a06/Wolfsburg-Dortmund-November-8-2022-Bundesliga","Wolfsburg","Home","Lukas Nmecha",10,"GER","FW","23-329",16,1,0,0,0,1,1,1,0,7,0,0,0,0.4,0.4,0,0,0,3,3,100,0,6,1,3,2
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Wolfsburg","4-5-1",2,2.4,"Micky van de Ven · 6&rsquor; Lukas Nmecha · 90+1&rsquor;","3","0","Dortmund","4-2-3-1",0,1.6,"","2","0","https://fbref.com/en/matches/c2157a06/Wolfsburg-Dortmund-November-8-2022-Bundesliga","Wolfsburg","Home","Jakub Kamiński",16,"POL","RW","20-156",87,0,0,0,0,3,0,0,0,27,2,0,0,0.4,0.4,0.3,3,1,10,16,62.5,4,21,2,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Wolfsburg","4-5-1",2,2.4,"Micky van de Ven · 6&rsquor; Lukas Nmecha · 90+1&rsquor;","3","0","Dortmund","4-2-3-1",0,1.6,"","2","0","https://fbref.com/en/matches/c2157a06/Wolfsburg-Dortmund-November-8-2022-Bundesliga","Wolfsburg","Home","Jérôme Roussillon",15,"FRA","RW","29-306",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Wolfsburg","4-5-1",2,2.4,"Micky van de Ven · 6&rsquor; Lukas Nmecha · 90+1&rsquor;","3","0","Dortmund","4-2-3-1",0,1.6,"","2","0","https://fbref.com/en/matches/c2157a06/Wolfsburg-Dortmund-November-8-2022-Bundesliga","Wolfsburg","Home","Omar Marmoush",33,"EGY","LM","",57,0,0,0,0,3,2,1,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Wolfsburg","4-5-1",2,2.4,"Micky van de Ven · 6&rsquor; Lukas Nmecha · 90+1&rsquor;","3","0","Dortmund","4-2-3-1",0,1.6,"","2","0","https://fbref.com/en/matches/c2157a06/Wolfsburg-Dortmund-November-8-2022-Bundesliga","Wolfsburg","Home","Patrick Wimmer",39,"AUT","LW","21-162",33,0,1,0,0,0,0,0,0,18,3,0,0,0,0,0.4,1,1,4,11,36.4,3,7,1,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Wolfsburg","4-5-1",2,2.4,"Micky van de Ven · 6&rsquor; Lukas Nmecha · 90+1&rsquor;","3","0","Dortmund","4-2-3-1",0,1.6,"","2","0","https://fbref.com/en/matches/c2157a06/Wolfsburg-Dortmund-November-8-2022-Bundesliga","Wolfsburg","Home","Yannick Gerhardt",31,"GER","CM","28-240",90,0,0,0,0,0,0,0,0,34,1,0,2,0,0,0.1,3,1,23,30,76.7,7,20,0,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Wolfsburg","4-5-1",2,2.4,"Micky van de Ven · 6&rsquor; Lukas Nmecha · 90+1&rsquor;","3","0","Dortmund","4-2-3-1",0,1.6,"","2","0","https://fbref.com/en/matches/c2157a06/Wolfsburg-Dortmund-November-8-2022-Bundesliga","Wolfsburg","Home","Maximilian Arnold",27,"GER","CM","28-165",90,0,0,0,0,0,0,0,0,51,3,1,1,0,0,0.3,4,0,32,42,76.2,1,22,0,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Wolfsburg","4-5-1",2,2.4,"Micky van de Ven · 6&rsquor; Lukas Nmecha · 90+1&rsquor;","3","0","Dortmund","4-2-3-1",0,1.6,"","2","0","https://fbref.com/en/matches/c2157a06/Wolfsburg-Dortmund-November-8-2022-Bundesliga","Wolfsburg","Home","Felix Nmecha",22,"GER","CM","22-029",87,0,0,0,0,2,2,1,0,35,2,1,2,0.1,0.1,0.1,4,0,14,23,60.9,4,20,0,0,0
"Fußball-Bundesliga","2022-11-08","Fußball-Bundesliga (Matchweek 14)","Wolfsburg","4-5-1",2,2.4,"Micky van de Ven · 6&rsquor; Lukas Nmecha · 90+1&rsquor;","3","0","Dortmund","4-2-3-1",0,1.6,"","2","0","https://fbref.com/en/matches/c2157a06/Wolfsburg-Dortmund-November-8-2022-Bundesliga","Wolfsburg","Home","Mattias Svanberg",32,"SWE","CM","23-307",3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0
