"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-1-2-1-2",2,NA,"Felix Bastians (OG) · 27&rsquor; Fabian Johnson · 81&rsquor;","3","0","Freiburg","4-4-2",2,NA,"Mohammadou Idrissou · 19&rsquor; Ivica Banović (P) · 51&rsquor;","3","0","https://fbref.com/en/matches/afa4b56b/Wolfsburg-Freiburg-December-5-2009-Bundesliga","Wolfsburg","Home","Edin Džeko",NA,"BIH","FW","23-263",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-1-2-1-2",2,NA,"Felix Bastians (OG) · 27&rsquor; Fabian Johnson · 81&rsquor;","3","0","Freiburg","4-4-2",2,NA,"Mohammadou Idrissou · 19&rsquor; Ivica Banović (P) · 51&rsquor;","3","0","https://fbref.com/en/matches/afa4b56b/Wolfsburg-Freiburg-December-5-2009-Bundesliga","Wolfsburg","Home","Grafite",NA,"BRA","FW","30-247",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-1-2-1-2",2,NA,"Felix Bastians (OG) · 27&rsquor; Fabian Johnson · 81&rsquor;","3","0","Freiburg","4-4-2",2,NA,"Mohammadou Idrissou · 19&rsquor; Ivica Banović (P) · 51&rsquor;","3","0","https://fbref.com/en/matches/afa4b56b/Wolfsburg-Freiburg-December-5-2009-Bundesliga","Wolfsburg","Home","Zvjezdan Misimović",NA,"BIH","MF","27-183",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-1-2-1-2",2,NA,"Felix Bastians (OG) · 27&rsquor; Fabian Johnson · 81&rsquor;","3","0","Freiburg","4-4-2",2,NA,"Mohammadou Idrissou · 19&rsquor; Ivica Banović (P) · 51&rsquor;","3","0","https://fbref.com/en/matches/afa4b56b/Wolfsburg-Freiburg-December-5-2009-Bundesliga","Wolfsburg","Home","Christian Gentner",NA,"GER","MF","24-113",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-1-2-1-2",2,NA,"Felix Bastians (OG) · 27&rsquor; Fabian Johnson · 81&rsquor;","3","0","Freiburg","4-4-2",2,NA,"Mohammadou Idrissou · 19&rsquor; Ivica Banović (P) · 51&rsquor;","3","0","https://fbref.com/en/matches/afa4b56b/Wolfsburg-Freiburg-December-5-2009-Bundesliga","Wolfsburg","Home","Makoto Hasebe",NA,"JPN","DF,MF","25-321",54,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-1-2-1-2",2,NA,"Felix Bastians (OG) · 27&rsquor; Fabian Johnson · 81&rsquor;","3","0","Freiburg","4-4-2",2,NA,"Mohammadou Idrissou · 19&rsquor; Ivica Banović (P) · 51&rsquor;","3","0","https://fbref.com/en/matches/afa4b56b/Wolfsburg-Freiburg-December-5-2009-Bundesliga","Wolfsburg","Home","Karim Ziani",NA,"ALG","FW,MF","27-110",36,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-1-2-1-2",2,NA,"Felix Bastians (OG) · 27&rsquor; Fabian Johnson · 81&rsquor;","3","0","Freiburg","4-4-2",2,NA,"Mohammadou Idrissou · 19&rsquor; Ivica Banović (P) · 51&rsquor;","3","0","https://fbref.com/en/matches/afa4b56b/Wolfsburg-Freiburg-December-5-2009-Bundesliga","Wolfsburg","Home","Josué",NA,"BRA","MF","30-139",77,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-1-2-1-2",2,NA,"Felix Bastians (OG) · 27&rsquor; Fabian Johnson · 81&rsquor;","3","0","Freiburg","4-4-2",2,NA,"Mohammadou Idrissou · 19&rsquor; Ivica Banović (P) · 51&rsquor;","3","0","https://fbref.com/en/matches/afa4b56b/Wolfsburg-Freiburg-December-5-2009-Bundesliga","Wolfsburg","Home","Ashkan Dejagah",NA,"IRN","FW,MF","23-153",13,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-1-2-1-2",2,NA,"Felix Bastians (OG) · 27&rsquor; Fabian Johnson · 81&rsquor;","3","0","Freiburg","4-4-2",2,NA,"Mohammadou Idrissou · 19&rsquor; Ivica Banović (P) · 51&rsquor;","3","0","https://fbref.com/en/matches/afa4b56b/Wolfsburg-Freiburg-December-5-2009-Bundesliga","Wolfsburg","Home","Marcel Schäfer",NA,"GER","DF,MF","25-181",59,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-1-2-1-2",2,NA,"Felix Bastians (OG) · 27&rsquor; Fabian Johnson · 81&rsquor;","3","0","Freiburg","4-4-2",2,NA,"Mohammadou Idrissou · 19&rsquor; Ivica Banović (P) · 51&rsquor;","3","0","https://fbref.com/en/matches/afa4b56b/Wolfsburg-Freiburg-December-5-2009-Bundesliga","Wolfsburg","Home","Fabian Johnson",NA,"USA","DF,MF","21-359",31,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
