"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","Lukas Nmecha",10,"GER","FW","22-313",90,0,0,0,0,5,2,0,0,29,0,0,0,0.6,0.6,0.1,3,0,11,17,64.7,0,12,1,2,1
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","Renato Steffen",11,"SUI","LW,LB","29-354",79,0,0,0,0,2,0,1,0,35,2,0,2,0.2,0.2,0,3,0,20,27,74.1,2,13,1,1,1
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","Felix Nmecha",22,"GER","LB","21-013",11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,3,66.7,0,2,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","Ridle Baku",20,"GER","RW","23-198",90,0,0,0,0,3,0,0,0,42,0,1,0,0.1,0.1,0,4,0,24,32,75,4,21,3,2,2
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","Maximilian Arnold",27,"GER","LM,DM","27-149",90,0,0,0,0,1,0,0,0,65,0,1,1,0,0,0.2,5,0,39,58,67.2,4,24,1,2,2
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","Josuha Guilavogui",23,"FRA","CM","31-034",55,0,0,0,0,1,1,1,0,32,1,3,0,0,0,0,0,0,17,22,77.3,2,6,1,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","Dodi Lukebakio",28,"BEL","LW","24-029",35,0,0,0,0,2,1,0,0,11,1,0,0,0.2,0.2,0,0,0,4,7,57.1,0,6,1,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","Aster Vranckx",8,"BEL","RM,DM","19-019",90,0,0,0,0,1,0,0,0,47,4,1,1,0,0,0.2,6,0,25,34,73.5,3,24,1,3,2
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","Paulo Otávio",6,"BRA","LB","26-334",55,0,0,0,0,0,0,0,0,40,0,1,3,0,0,0.2,1,0,22,32,68.8,0,10,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","Maximilian Philipp",17,"GER","AM","27-236",35,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0.2,3,0,15,16,93.8,1,11,1,1,1
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","John Brooks",25,"USA","CB","28-268",87,0,0,0,0,2,0,0,0,71,0,0,0,0.1,0.1,0,0,0,52,62,83.9,2,34,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","Sebastiaan Bornauw",3,"BEL","CB","22-215",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,66.7,0,2,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","Maxence Lacroix",4,"FRA","CB","21-200",90,0,0,0,0,0,0,0,0,86,0,4,1,0,0,0,1,0,60,79,75.9,3,45,1,1,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","Kevin Mbabu",19,"SUI","RB","26-187",90,0,0,0,0,0,0,1,0,78,2,2,3,0,0,0.3,7,0,45,63,71.4,5,30,3,4,2
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Wolfsburg","Home","Koen Casteels",1,"BEL","GK","29-120",90,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,29,35,82.9,0,17,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Lucas Höler",9,"GER","FW","27-105",77,1,0,0,0,2,1,0,0,32,2,2,0,0.4,0.4,0,1,1,12,17,70.6,3,18,0,1,1
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Nils Petersen",18,"GER","FW","32-321",13,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Vincenzo Grifo",32,"ITA","LW","28-199",86,0,0,0,0,2,1,0,0,39,1,0,0,0.1,0.1,0.6,3,0,21,28,75,3,20,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Kiliann Sildillia",25,"FRA","LW","19-160",4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Jeong Woo-yeong",29,"KOR","RW","22-033",77,0,0,0,0,1,0,0,0,27,1,0,2,0,0,0,4,0,15,20,75,4,18,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Ermedin Demirović",11,"BIH","RW","23-212",13,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Christian Günter",30,"GER","LM","28-237",90,0,1,0,0,0,0,0,0,49,2,0,0,0,0,0.4,4,1,29,44,65.9,6,28,2,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Nicolas Höfler",27,"GER","CM","31-228",90,0,0,0,0,1,0,0,0,34,0,3,0,0,0,0,0,0,23,27,85.2,2,14,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Maximilian Eggestein",8,"GER","CM","24-319",90,0,0,0,0,0,0,0,0,38,1,2,3,0,0,0,0,0,16,28,57.1,2,14,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Lukas Kübler",17,"GER","RM","29-054",86,0,0,0,0,1,0,0,0,62,1,1,1,0,0,0.1,2,0,27,48,56.3,3,27,1,1,1
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Janik Haberer",19,"GER","CB","27-204",4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Nico Schlotterbeck",4,"GER","CB","21-326",90,0,0,0,0,1,0,0,0,69,2,1,3,0,0,0,0,0,47,58,81,2,46,0,1,1
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Philipp Lienhart",3,"AUT","CB","25-104",90,1,0,0,0,2,2,0,0,40,1,0,0,0.8,0.8,0,1,1,27,35,77.1,2,24,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Manuel Gulde",5,"GER","CB","30-253",67,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0,1,0,25,27,92.6,2,22,0,0,0
"Fußball-Bundesliga","2021-10-23","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-3-3",0,1.3,"","3","0","Freiburg","3-4-3",2,1.5,"Philipp Lienhart · 27&rsquor; Lucas Höler · 68&rsquor;","0","0","https://fbref.com/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga","Freiburg","Away","Kevin Schade",20,"GER","CB","19-330",23,0,0,0,0,1,0,0,0,10,0,0,2,0.1,0.1,0,1,0,0,2,0,0,5,0,2,0
