"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Jonas Wind",23,"DEN","FW","22-364",64,0,0,0,0,1,0,0,0,28,1,1,0,0,0,0.1,4,1,15,21,71.4,1,13,0,1,1
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Bartosz Białek",21,"POL","FW","20-087",26,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,3,5,60,0,3,0,0,0
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Aster Vranckx",8,"BEL","AM","19-125",90,2,0,0,0,5,2,1,0,39,0,0,0,1.4,1.4,0,3,1,18,27,66.7,4,19,1,0,0
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Max Kruse",9,"GER","AM","33-324",82,0,0,0,0,1,0,0,0,41,0,0,1,0.7,0.7,0.3,3,0,28,36,77.8,3,21,0,1,1
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Luca Waldschmidt",7,"GER","AM","25-263",8,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,2,50,0,2,0,1,0
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Yannick Gerhardt",31,"GER","CM","27-330",64,0,0,0,0,0,0,0,0,40,2,2,1,0,0,0,1,0,24,31,77.4,5,19,1,0,0
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Maximilian Philipp",17,"GER","CM","27-342",26,1,0,0,0,1,1,0,0,12,1,0,0,0,0,0,0,0,7,11,63.6,1,6,1,0,0
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Maximilian Arnold",27,"GER","CM","27-255",90,1,0,0,0,3,1,0,0,70,1,0,1,0.1,0.1,0.1,3,1,52,62,83.9,6,39,1,0,0
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Renato Steffen",11,"SUI","WB","30-095",64,0,1,0,0,2,1,0,0,47,2,1,0,0.1,0.1,0.8,4,1,31,38,81.6,1,26,3,1,1
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Jérôme Roussillon",15,"FRA","WB","29-031",26,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,12,14,85.7,1,9,1,1,0
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Ridle Baku",20,"GER","WB","23-304",90,0,0,0,0,0,0,0,0,72,3,1,0,0,0,0.1,6,2,52,60,86.7,5,46,4,6,4
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","John Brooks",25,"USA","CB","29-009",84,0,0,0,0,0,0,0,0,77,2,0,1,0,0,0,0,0,57,66,86.4,7,42,0,0,0
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Micky van de Ven",5,"NED","CB","20-293",6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,100,0,2,0,0,0
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Sebastiaan Bornauw",3,"BEL","CB","22-321",90,0,0,0,0,0,0,0,0,61,1,2,0,0,0,0,1,1,56,57,98.2,2,38,0,0,0
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Maxence Lacroix",4,"FRA","CB","21-306",90,0,0,0,0,1,1,0,0,77,0,2,0,0.1,0.1,0,0,0,53,59,89.8,3,40,0,2,1
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Wolfsburg","Home","Koen Casteels",1,"BEL","GK","29-226",90,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,26,34,76.5,0,23,0,0,0
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Greuther Fürth","Away","Jamie Leweling",40,"GER","FW","20-345",90,0,0,0,0,3,2,0,0,41,1,0,0,0.1,0.1,0,4,0,13,18,72.2,2,26,1,7,3
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Greuther Fürth","Away","Jeremy Dudziak",28,"TUN","LW","26-162",70,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,2,1,5,9,55.6,0,8,1,5,2
"Fußball-Bundesliga","2022-02-06","Fußball-Bundesliga (Matchweek 21)","Wolfsburg","3-4-3",4,2.4,"Aster Vranckx · 7&rsquor; Aster Vranckx · 49&rsquor; Maximilian Arnold · 70&rsquor; Maximilian Philipp · 75&rsquor;","1","0","Greuther Fürth","4-3-3",1,1.1,"Branimir Hrgota (P) · 44&rsquor;","2","0","https://fbref.com/en/matches/c6f4eb7d/Wolfsburg-Greuther-Furth-February-6-2022-Bundesliga","Greuther Fürth","Away","Håvard Nielsen",16,"NOR","LW","28-206",20,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,100,1,3,0,0,0
