"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 52&rsquor; Obafemi Martins · 56&rsquor;","4","0","Hamburger SV","4-4-2",4,NA,"Paolo Guerrero · 3&rsquor; Eljero Elia · 7&rsquor; Mladen Petrić · 75&rsquor; Romeo Castelen · 90&rsquor;","2","0","https://fbref.com/en/matches/b4479fef/Wolfsburg-Hamburger-SV-August-23-2009-Bundesliga","Wolfsburg","Home","Edin Džeko",NA,"BIH","FW","23-159",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 52&rsquor; Obafemi Martins · 56&rsquor;","4","0","Hamburger SV","4-4-2",4,NA,"Paolo Guerrero · 3&rsquor; Eljero Elia · 7&rsquor; Mladen Petrić · 75&rsquor; Romeo Castelen · 90&rsquor;","2","0","https://fbref.com/en/matches/b4479fef/Wolfsburg-Hamburger-SV-August-23-2009-Bundesliga","Wolfsburg","Home","Grafite",NA,"BRA","FW","30-143",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 52&rsquor; Obafemi Martins · 56&rsquor;","4","0","Hamburger SV","4-4-2",4,NA,"Paolo Guerrero · 3&rsquor; Eljero Elia · 7&rsquor; Mladen Petrić · 75&rsquor; Romeo Castelen · 90&rsquor;","2","0","https://fbref.com/en/matches/b4479fef/Wolfsburg-Hamburger-SV-August-23-2009-Bundesliga","Wolfsburg","Home","Zvjezdan Misimović",NA,"BIH","MF","27-079",90,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 52&rsquor; Obafemi Martins · 56&rsquor;","4","0","Hamburger SV","4-4-2",4,NA,"Paolo Guerrero · 3&rsquor; Eljero Elia · 7&rsquor; Mladen Petrić · 75&rsquor; Romeo Castelen · 90&rsquor;","2","0","https://fbref.com/en/matches/b4479fef/Wolfsburg-Hamburger-SV-August-23-2009-Bundesliga","Wolfsburg","Home","Christian Gentner",NA,"GER","MF","24-009",81,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 52&rsquor; Obafemi Martins · 56&rsquor;","4","0","Hamburger SV","4-4-2",4,NA,"Paolo Guerrero · 3&rsquor; Eljero Elia · 7&rsquor; Mladen Petrić · 75&rsquor; Romeo Castelen · 90&rsquor;","2","0","https://fbref.com/en/matches/b4479fef/Wolfsburg-Hamburger-SV-August-23-2009-Bundesliga","Wolfsburg","Home","Ashkan Dejagah",NA,"IRN","FW,MF","23-049",9,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 52&rsquor; Obafemi Martins · 56&rsquor;","4","0","Hamburger SV","4-4-2",4,NA,"Paolo Guerrero · 3&rsquor; Eljero Elia · 7&rsquor; Mladen Petrić · 75&rsquor; Romeo Castelen · 90&rsquor;","2","0","https://fbref.com/en/matches/b4479fef/Wolfsburg-Hamburger-SV-August-23-2009-Bundesliga","Wolfsburg","Home","Karim Ziani",NA,"ALG","FW,MF","27-006",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 52&rsquor; Obafemi Martins · 56&rsquor;","4","0","Hamburger SV","4-4-2",4,NA,"Paolo Guerrero · 3&rsquor; Eljero Elia · 7&rsquor; Mladen Petrić · 75&rsquor; Romeo Castelen · 90&rsquor;","2","0","https://fbref.com/en/matches/b4479fef/Wolfsburg-Hamburger-SV-August-23-2009-Bundesliga","Wolfsburg","Home","Obafemi Martins",NA,"NGA","FW","24-299",45,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 52&rsquor; Obafemi Martins · 56&rsquor;","4","0","Hamburger SV","4-4-2",4,NA,"Paolo Guerrero · 3&rsquor; Eljero Elia · 7&rsquor; Mladen Petrić · 75&rsquor; Romeo Castelen · 90&rsquor;","2","0","https://fbref.com/en/matches/b4479fef/Wolfsburg-Hamburger-SV-August-23-2009-Bundesliga","Wolfsburg","Home","Josué",NA,"BRA","MF","30-035",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 52&rsquor; Obafemi Martins · 56&rsquor;","4","0","Hamburger SV","4-4-2",4,NA,"Paolo Guerrero · 3&rsquor; Eljero Elia · 7&rsquor; Mladen Petrić · 75&rsquor; Romeo Castelen · 90&rsquor;","2","0","https://fbref.com/en/matches/b4479fef/Wolfsburg-Hamburger-SV-August-23-2009-Bundesliga","Wolfsburg","Home","Marcel Schäfer",NA,"GER","DF,MF","25-077",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 3)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 52&rsquor; Obafemi Martins · 56&rsquor;","4","0","Hamburger SV","4-4-2",4,NA,"Paolo Guerrero · 3&rsquor; Eljero Elia · 7&rsquor; Mladen Petrić · 75&rsquor; Romeo Castelen · 90&rsquor;","2","0","https://fbref.com/en/matches/b4479fef/Wolfsburg-Hamburger-SV-August-23-2009-Bundesliga","Wolfsburg","Home","Andrea Barzagli",NA,"ITA","DF","28-107",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
