"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Wolfsburg","3-4-1-2",2,1,"Lukas Nmecha · 2&rsquor; Lukas Nmecha · 79&rsquor;","2","0","Köln","4-2-3-1",4,2.7,"Dejan Ljubicic · 22&rsquor; Paulo Otávio (OG) · 31&rsquor; Florian Kainz (P) · 45+2&rsquor; Sargis Adamyan · 81&rsquor;","1","0","https://fbref.com/en/matches/e01323cb/Wolfsburg-Koln-September-3-2022-Bundesliga","Wolfsburg","Home","Lukas Nmecha",10,"GER","FW","23-263",90,2,0,0,0,2,2,0,0,37,0,0,1,0.4,0.4,0,1,0,19,24,79.2,2,20,1,1,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Wolfsburg","3-4-1-2",2,1,"Lukas Nmecha · 2&rsquor; Lukas Nmecha · 79&rsquor;","2","0","Köln","4-2-3-1",4,2.7,"Dejan Ljubicic · 22&rsquor; Paulo Otávio (OG) · 31&rsquor; Florian Kainz (P) · 45+2&rsquor; Sargis Adamyan · 81&rsquor;","1","0","https://fbref.com/en/matches/e01323cb/Wolfsburg-Koln-September-3-2022-Bundesliga","Wolfsburg","Home","Luca Waldschmidt",7,"GER","FW,RM","26-107",60,0,0,0,0,1,0,0,0,17,1,0,0,0.1,0.1,0,0,0,13,14,92.9,0,6,0,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Wolfsburg","3-4-1-2",2,1,"Lukas Nmecha · 2&rsquor; Lukas Nmecha · 79&rsquor;","2","0","Köln","4-2-3-1",4,2.7,"Dejan Ljubicic · 22&rsquor; Paulo Otávio (OG) · 31&rsquor; Florian Kainz (P) · 45+2&rsquor; Sargis Adamyan · 81&rsquor;","1","0","https://fbref.com/en/matches/e01323cb/Wolfsburg-Koln-September-3-2022-Bundesliga","Wolfsburg","Home","Kevin Paredes",40,"USA","RM","19-119",30,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,13,16,81.3,0,10,1,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Wolfsburg","3-4-1-2",2,1,"Lukas Nmecha · 2&rsquor; Lukas Nmecha · 79&rsquor;","2","0","Köln","4-2-3-1",4,2.7,"Dejan Ljubicic · 22&rsquor; Paulo Otávio (OG) · 31&rsquor; Florian Kainz (P) · 45+2&rsquor; Sargis Adamyan · 81&rsquor;","1","0","https://fbref.com/en/matches/e01323cb/Wolfsburg-Koln-September-3-2022-Bundesliga","Wolfsburg","Home","Max Kruse",9,"GER","FW,AM","34-168",90,0,0,0,0,3,1,0,0,36,0,0,0,0.3,0.3,0,1,1,20,31,64.5,2,19,1,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Wolfsburg","3-4-1-2",2,1,"Lukas Nmecha · 2&rsquor; Lukas Nmecha · 79&rsquor;","2","0","Köln","4-2-3-1",4,2.7,"Dejan Ljubicic · 22&rsquor; Paulo Otávio (OG) · 31&rsquor; Florian Kainz (P) · 45+2&rsquor; Sargis Adamyan · 81&rsquor;","1","0","https://fbref.com/en/matches/e01323cb/Wolfsburg-Koln-September-3-2022-Bundesliga","Wolfsburg","Home","Maximilian Arnold",27,"GER","CM","28-099",74,0,0,0,0,0,0,0,0,42,3,1,2,0,0,0.2,3,0,24,34,70.6,5,16,0,3,1
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Wolfsburg","3-4-1-2",2,1,"Lukas Nmecha · 2&rsquor; Lukas Nmecha · 79&rsquor;","2","0","Köln","4-2-3-1",4,2.7,"Dejan Ljubicic · 22&rsquor; Paulo Otávio (OG) · 31&rsquor; Florian Kainz (P) · 45+2&rsquor; Sargis Adamyan · 81&rsquor;","1","0","https://fbref.com/en/matches/e01323cb/Wolfsburg-Koln-September-3-2022-Bundesliga","Wolfsburg","Home","Mattias Svanberg",32,"SWE","CM","23-241",16,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0.4,1,1,7,7,100,3,5,0,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Wolfsburg","3-4-1-2",2,1,"Lukas Nmecha · 2&rsquor; Lukas Nmecha · 79&rsquor;","2","0","Köln","4-2-3-1",4,2.7,"Dejan Ljubicic · 22&rsquor; Paulo Otávio (OG) · 31&rsquor; Florian Kainz (P) · 45+2&rsquor; Sargis Adamyan · 81&rsquor;","1","0","https://fbref.com/en/matches/e01323cb/Wolfsburg-Koln-September-3-2022-Bundesliga","Wolfsburg","Home","Bartol Franjić",38,"CRO","CM","22-232",73,0,1,0,0,0,0,0,0,36,0,2,1,0,0,0,2,2,19,30,63.3,2,12,2,1,1
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Wolfsburg","3-4-1-2",2,1,"Lukas Nmecha · 2&rsquor; Lukas Nmecha · 79&rsquor;","2","0","Köln","4-2-3-1",4,2.7,"Dejan Ljubicic · 22&rsquor; Paulo Otávio (OG) · 31&rsquor; Florian Kainz (P) · 45+2&rsquor; Sargis Adamyan · 81&rsquor;","1","0","https://fbref.com/en/matches/e01323cb/Wolfsburg-Koln-September-3-2022-Bundesliga","Wolfsburg","Home","Felix Nmecha",22,"GER","CM","21-328",17,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,9,66.7,0,4,0,0,0
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Wolfsburg","3-4-1-2",2,1,"Lukas Nmecha · 2&rsquor; Lukas Nmecha · 79&rsquor;","2","0","Köln","4-2-3-1",4,2.7,"Dejan Ljubicic · 22&rsquor; Paulo Otávio (OG) · 31&rsquor; Florian Kainz (P) · 45+2&rsquor; Sargis Adamyan · 81&rsquor;","1","0","https://fbref.com/en/matches/e01323cb/Wolfsburg-Koln-September-3-2022-Bundesliga","Wolfsburg","Home","Paulo Otávio",6,"BRA","WB,LB","27-284",74,0,0,0,0,1,0,0,0,57,5,3,2,0,0,0,1,0,30,39,76.9,6,23,1,3,1
"Fußball-Bundesliga","2022-09-03","Fußball-Bundesliga (Matchweek 5)","Wolfsburg","3-4-1-2",2,1,"Lukas Nmecha · 2&rsquor; Lukas Nmecha · 79&rsquor;","2","0","Köln","4-2-3-1",4,2.7,"Dejan Ljubicic · 22&rsquor; Paulo Otávio (OG) · 31&rsquor; Florian Kainz (P) · 45+2&rsquor; Sargis Adamyan · 81&rsquor;","1","0","https://fbref.com/en/matches/e01323cb/Wolfsburg-Koln-September-3-2022-Bundesliga","Wolfsburg","Home","Jakub Kamiński",16,"POL","LB","20-090",16,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,6,7,85.7,1,2,0,2,0
