"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Wolfsburg","4-2-3-1",3,NA,"Edin Džeko · 23&rsquor; Edin Džeko · 28&rsquor; Diego · 30&rsquor;","3","0","Mainz 05","4-1-2-1-2",4,NA,"Duncan · 39&rsquor; Elkin Soto · 48&rsquor; André Schürrle · 58&rsquor; Ádám Szalai · 85&rsquor;","3","0","https://fbref.com/en/matches/6f8d18a4/Wolfsburg-Mainz-05-August-28-2010-Bundesliga","Wolfsburg","Home","Edin Džeko",NA,"BIH","FW","24-164",90,2,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Wolfsburg","4-2-3-1",3,NA,"Edin Džeko · 23&rsquor; Edin Džeko · 28&rsquor; Diego · 30&rsquor;","3","0","Mainz 05","4-1-2-1-2",4,NA,"Duncan · 39&rsquor; Elkin Soto · 48&rsquor; André Schürrle · 58&rsquor; Ádám Szalai · 85&rsquor;","3","0","https://fbref.com/en/matches/6f8d18a4/Wolfsburg-Mainz-05-August-28-2010-Bundesliga","Wolfsburg","Home","Mario Mandžukić",NA,"CRO","FW,MF","24-099",61,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Wolfsburg","4-2-3-1",3,NA,"Edin Džeko · 23&rsquor; Edin Džeko · 28&rsquor; Diego · 30&rsquor;","3","0","Mainz 05","4-1-2-1-2",4,NA,"Duncan · 39&rsquor; Elkin Soto · 48&rsquor; André Schürrle · 58&rsquor; Ádám Szalai · 85&rsquor;","3","0","https://fbref.com/en/matches/6f8d18a4/Wolfsburg-Mainz-05-August-28-2010-Bundesliga","Wolfsburg","Home","Fabian Johnson",NA,"USA","DF,MF","22-260",29,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Wolfsburg","4-2-3-1",3,NA,"Edin Džeko · 23&rsquor; Edin Džeko · 28&rsquor; Diego · 30&rsquor;","3","0","Mainz 05","4-1-2-1-2",4,NA,"Duncan · 39&rsquor; Elkin Soto · 48&rsquor; André Schürrle · 58&rsquor; Ádám Szalai · 85&rsquor;","3","0","https://fbref.com/en/matches/6f8d18a4/Wolfsburg-Mainz-05-August-28-2010-Bundesliga","Wolfsburg","Home","Karim Ziani",NA,"ALG","FW,MF","28-011",61,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Wolfsburg","4-2-3-1",3,NA,"Edin Džeko · 23&rsquor; Edin Džeko · 28&rsquor; Diego · 30&rsquor;","3","0","Mainz 05","4-1-2-1-2",4,NA,"Duncan · 39&rsquor; Elkin Soto · 48&rsquor; André Schürrle · 58&rsquor; Ádám Szalai · 85&rsquor;","3","0","https://fbref.com/en/matches/6f8d18a4/Wolfsburg-Mainz-05-August-28-2010-Bundesliga","Wolfsburg","Home","Grafite",NA,"BRA","FW","31-148",29,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Wolfsburg","4-2-3-1",3,NA,"Edin Džeko · 23&rsquor; Edin Džeko · 28&rsquor; Diego · 30&rsquor;","3","0","Mainz 05","4-1-2-1-2",4,NA,"Duncan · 39&rsquor; Elkin Soto · 48&rsquor; André Schürrle · 58&rsquor; Ádám Szalai · 85&rsquor;","3","0","https://fbref.com/en/matches/6f8d18a4/Wolfsburg-Mainz-05-August-28-2010-Bundesliga","Wolfsburg","Home","Diego",NA,"BRA","MF","25-181",90,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Wolfsburg","4-2-3-1",3,NA,"Edin Džeko · 23&rsquor; Edin Džeko · 28&rsquor; Diego · 30&rsquor;","3","0","Mainz 05","4-1-2-1-2",4,NA,"Duncan · 39&rsquor; Elkin Soto · 48&rsquor; André Schürrle · 58&rsquor; Ádám Szalai · 85&rsquor;","3","0","https://fbref.com/en/matches/6f8d18a4/Wolfsburg-Mainz-05-August-28-2010-Bundesliga","Wolfsburg","Home","Cícero Santos",NA,"BRA","MF","26-002",86,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Wolfsburg","4-2-3-1",3,NA,"Edin Džeko · 23&rsquor; Edin Džeko · 28&rsquor; Diego · 30&rsquor;","3","0","Mainz 05","4-1-2-1-2",4,NA,"Duncan · 39&rsquor; Elkin Soto · 48&rsquor; André Schürrle · 58&rsquor; Ádám Szalai · 85&rsquor;","3","0","https://fbref.com/en/matches/6f8d18a4/Wolfsburg-Mainz-05-August-28-2010-Bundesliga","Wolfsburg","Home","Ashkan Dejagah",NA,"IRN","FW,MF","24-054",4,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Wolfsburg","4-2-3-1",3,NA,"Edin Džeko · 23&rsquor; Edin Džeko · 28&rsquor; Diego · 30&rsquor;","3","0","Mainz 05","4-1-2-1-2",4,NA,"Duncan · 39&rsquor; Elkin Soto · 48&rsquor; André Schürrle · 58&rsquor; Ádám Szalai · 85&rsquor;","3","0","https://fbref.com/en/matches/6f8d18a4/Wolfsburg-Mainz-05-August-28-2010-Bundesliga","Wolfsburg","Home","Josué",NA,"BRA","MF","31-040",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Wolfsburg","4-2-3-1",3,NA,"Edin Džeko · 23&rsquor; Edin Džeko · 28&rsquor; Diego · 30&rsquor;","3","0","Mainz 05","4-1-2-1-2",4,NA,"Duncan · 39&rsquor; Elkin Soto · 48&rsquor; André Schürrle · 58&rsquor; Ádám Szalai · 85&rsquor;","3","0","https://fbref.com/en/matches/6f8d18a4/Wolfsburg-Mainz-05-August-28-2010-Bundesliga","Wolfsburg","Home","Marcel Schäfer",NA,"GER","DF,MF","26-082",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
