"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Wolfsburg","4-4-1-1",2,NA,"Diego · 36&rsquor; Diego · 45&rsquor;","4","0","Mönchengladbach","4-2-3-1",1,NA,"Filip Daems (P) · 74&rsquor;","3","0","https://fbref.com/en/matches/200cc9ac/Wolfsburg-Monchengladbach-February-25-2011-Bundesliga","Wolfsburg","Home","Dieumerci Mbokani",NA,"COD","FW","25-095",79,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Wolfsburg","4-4-1-1",2,NA,"Diego · 36&rsquor; Diego · 45&rsquor;","4","0","Mönchengladbach","4-2-3-1",1,NA,"Filip Daems (P) · 74&rsquor;","3","0","https://fbref.com/en/matches/200cc9ac/Wolfsburg-Monchengladbach-February-25-2011-Bundesliga","Wolfsburg","Home","Mario Mandžukić",NA,"CRO","FW,MF","24-280",11,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Wolfsburg","4-4-1-1",2,NA,"Diego · 36&rsquor; Diego · 45&rsquor;","4","0","Mönchengladbach","4-2-3-1",1,NA,"Filip Daems (P) · 74&rsquor;","3","0","https://fbref.com/en/matches/200cc9ac/Wolfsburg-Monchengladbach-February-25-2011-Bundesliga","Wolfsburg","Home","Diego",NA,"BRA","MF","25-362",89,2,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Wolfsburg","4-4-1-1",2,NA,"Diego · 36&rsquor; Diego · 45&rsquor;","4","0","Mönchengladbach","4-2-3-1",1,NA,"Filip Daems (P) · 74&rsquor;","3","0","https://fbref.com/en/matches/200cc9ac/Wolfsburg-Monchengladbach-February-25-2011-Bundesliga","Wolfsburg","Home","Koo Ja-cheol",NA,"KOR","MF","21-363",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Wolfsburg","4-4-1-1",2,NA,"Diego · 36&rsquor; Diego · 45&rsquor;","4","0","Mönchengladbach","4-2-3-1",1,NA,"Filip Daems (P) · 74&rsquor;","3","0","https://fbref.com/en/matches/200cc9ac/Wolfsburg-Monchengladbach-February-25-2011-Bundesliga","Wolfsburg","Home","Cícero Santos",NA,"BRA","MF","26-183",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Wolfsburg","4-4-1-1",2,NA,"Diego · 36&rsquor; Diego · 45&rsquor;","4","0","Mönchengladbach","4-2-3-1",1,NA,"Filip Daems (P) · 74&rsquor;","3","0","https://fbref.com/en/matches/200cc9ac/Wolfsburg-Monchengladbach-February-25-2011-Bundesliga","Wolfsburg","Home","Jan Polák",NA,"CZE","MF","29-348",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Wolfsburg","4-4-1-1",2,NA,"Diego · 36&rsquor; Diego · 45&rsquor;","4","0","Mönchengladbach","4-2-3-1",1,NA,"Filip Daems (P) · 74&rsquor;","3","0","https://fbref.com/en/matches/200cc9ac/Wolfsburg-Monchengladbach-February-25-2011-Bundesliga","Wolfsburg","Home","Makoto Hasebe",NA,"JPN","DF,MF","27-038",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Wolfsburg","4-4-1-1",2,NA,"Diego · 36&rsquor; Diego · 45&rsquor;","4","0","Mönchengladbach","4-2-3-1",1,NA,"Filip Daems (P) · 74&rsquor;","3","0","https://fbref.com/en/matches/200cc9ac/Wolfsburg-Monchengladbach-February-25-2011-Bundesliga","Wolfsburg","Home","Sascha Riether",NA,"GER","DF,MF","27-339",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Wolfsburg","4-4-1-1",2,NA,"Diego · 36&rsquor; Diego · 45&rsquor;","4","0","Mönchengladbach","4-2-3-1",1,NA,"Filip Daems (P) · 74&rsquor;","3","0","https://fbref.com/en/matches/200cc9ac/Wolfsburg-Monchengladbach-February-25-2011-Bundesliga","Wolfsburg","Home","Marcel Schäfer",NA,"GER","DF,MF","26-263",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 24)","Wolfsburg","4-4-1-1",2,NA,"Diego · 36&rsquor; Diego · 45&rsquor;","4","0","Mönchengladbach","4-2-3-1",1,NA,"Filip Daems (P) · 74&rsquor;","3","0","https://fbref.com/en/matches/200cc9ac/Wolfsburg-Monchengladbach-February-25-2011-Bundesliga","Wolfsburg","Home","Arne Friedrich",NA,"GER","DF","31-272",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
