"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-1-2-1-2",2,NA,"Alexander Madlung · 45&rsquor; Christian Gentner · 90&rsquor;","1","0","Mönchengladbach","4-4-2",1,NA,"Michael Bradley · 90&rsquor;","2","0","https://fbref.com/en/matches/d96d660b/Wolfsburg-Monchengladbach-October-18-2009-Bundesliga","Wolfsburg","Home","Edin Džeko",NA,"BIH","FW","23-215",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-1-2-1-2",2,NA,"Alexander Madlung · 45&rsquor; Christian Gentner · 90&rsquor;","1","0","Mönchengladbach","4-4-2",1,NA,"Michael Bradley · 90&rsquor;","2","0","https://fbref.com/en/matches/d96d660b/Wolfsburg-Monchengladbach-October-18-2009-Bundesliga","Wolfsburg","Home","Alexander Esswein",NA,"GER","FW,MF","19-207",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-1-2-1-2",2,NA,"Alexander Madlung · 45&rsquor; Christian Gentner · 90&rsquor;","1","0","Mönchengladbach","4-4-2",1,NA,"Michael Bradley · 90&rsquor;","2","0","https://fbref.com/en/matches/d96d660b/Wolfsburg-Monchengladbach-October-18-2009-Bundesliga","Wolfsburg","Home","Obafemi Martins",NA,"NGA","FW","24-355",57,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-1-2-1-2",2,NA,"Alexander Madlung · 45&rsquor; Christian Gentner · 90&rsquor;","1","0","Mönchengladbach","4-4-2",1,NA,"Michael Bradley · 90&rsquor;","2","0","https://fbref.com/en/matches/d96d660b/Wolfsburg-Monchengladbach-October-18-2009-Bundesliga","Wolfsburg","Home","Grafite",NA,"BRA","FW","30-199",33,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-1-2-1-2",2,NA,"Alexander Madlung · 45&rsquor; Christian Gentner · 90&rsquor;","1","0","Mönchengladbach","4-4-2",1,NA,"Michael Bradley · 90&rsquor;","2","0","https://fbref.com/en/matches/d96d660b/Wolfsburg-Monchengladbach-October-18-2009-Bundesliga","Wolfsburg","Home","Zvjezdan Misimović",NA,"BIH","MF","27-135",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-1-2-1-2",2,NA,"Alexander Madlung · 45&rsquor; Christian Gentner · 90&rsquor;","1","0","Mönchengladbach","4-4-2",1,NA,"Michael Bradley · 90&rsquor;","2","0","https://fbref.com/en/matches/d96d660b/Wolfsburg-Monchengladbach-October-18-2009-Bundesliga","Wolfsburg","Home","Christian Gentner",NA,"GER","MF","24-065",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-1-2-1-2",2,NA,"Alexander Madlung · 45&rsquor; Christian Gentner · 90&rsquor;","1","0","Mönchengladbach","4-4-2",1,NA,"Michael Bradley · 90&rsquor;","2","0","https://fbref.com/en/matches/d96d660b/Wolfsburg-Monchengladbach-October-18-2009-Bundesliga","Wolfsburg","Home","Makoto Hasebe",NA,"JPN","DF,MF","25-273",67,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-1-2-1-2",2,NA,"Alexander Madlung · 45&rsquor; Christian Gentner · 90&rsquor;","1","0","Mönchengladbach","4-4-2",1,NA,"Michael Bradley · 90&rsquor;","2","0","https://fbref.com/en/matches/d96d660b/Wolfsburg-Monchengladbach-October-18-2009-Bundesliga","Wolfsburg","Home","Peter Pekarík",NA,"SVK","DF","22-353",23,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-1-2-1-2",2,NA,"Alexander Madlung · 45&rsquor; Christian Gentner · 90&rsquor;","1","0","Mönchengladbach","4-4-2",1,NA,"Michael Bradley · 90&rsquor;","2","0","https://fbref.com/en/matches/d96d660b/Wolfsburg-Monchengladbach-October-18-2009-Bundesliga","Wolfsburg","Home","Josué",NA,"BRA","MF","30-091",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 9)","Wolfsburg","4-1-2-1-2",2,NA,"Alexander Madlung · 45&rsquor; Christian Gentner · 90&rsquor;","1","0","Mönchengladbach","4-4-2",1,NA,"Michael Bradley · 90&rsquor;","2","0","https://fbref.com/en/matches/d96d660b/Wolfsburg-Monchengladbach-October-18-2009-Bundesliga","Wolfsburg","Home","Marcel Schäfer",NA,"GER","DF,MF","25-133",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
