"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Wolfsburg","4-1-2-1-2",2,NA,"Ashkan Dejagah · 59&rsquor; Grafite (P) · 79&rsquor;","6","0","Nürnberg","4-1-2-1-2",3,NA,"Albert Bunjaku · 56&rsquor; Albert Bunjaku · 64&rsquor; Peer Kluge · 90&rsquor;","4","0","https://fbref.com/en/matches/f45fb8f1/Wolfsburg-Nurnberg-November-21-2009-Bundesliga","Wolfsburg","Home","Grafite",NA,"BRA","FW","30-233",90,1,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Wolfsburg","4-1-2-1-2",2,NA,"Ashkan Dejagah · 59&rsquor; Grafite (P) · 79&rsquor;","6","0","Nürnberg","4-1-2-1-2",3,NA,"Albert Bunjaku · 56&rsquor; Albert Bunjaku · 64&rsquor; Peer Kluge · 90&rsquor;","4","0","https://fbref.com/en/matches/f45fb8f1/Wolfsburg-Nurnberg-November-21-2009-Bundesliga","Wolfsburg","Home","Edin Džeko",NA,"BIH","FW","23-249",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Wolfsburg","4-1-2-1-2",2,NA,"Ashkan Dejagah · 59&rsquor; Grafite (P) · 79&rsquor;","6","0","Nürnberg","4-1-2-1-2",3,NA,"Albert Bunjaku · 56&rsquor; Albert Bunjaku · 64&rsquor; Peer Kluge · 90&rsquor;","4","0","https://fbref.com/en/matches/f45fb8f1/Wolfsburg-Nurnberg-November-21-2009-Bundesliga","Wolfsburg","Home","Zvjezdan Misimović",NA,"BIH","MF","27-169",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Wolfsburg","4-1-2-1-2",2,NA,"Ashkan Dejagah · 59&rsquor; Grafite (P) · 79&rsquor;","6","0","Nürnberg","4-1-2-1-2",3,NA,"Albert Bunjaku · 56&rsquor; Albert Bunjaku · 64&rsquor; Peer Kluge · 90&rsquor;","4","0","https://fbref.com/en/matches/f45fb8f1/Wolfsburg-Nurnberg-November-21-2009-Bundesliga","Wolfsburg","Home","Christian Gentner",NA,"GER","MF","24-099",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Wolfsburg","4-1-2-1-2",2,NA,"Ashkan Dejagah · 59&rsquor; Grafite (P) · 79&rsquor;","6","0","Nürnberg","4-1-2-1-2",3,NA,"Albert Bunjaku · 56&rsquor; Albert Bunjaku · 64&rsquor; Peer Kluge · 90&rsquor;","4","0","https://fbref.com/en/matches/f45fb8f1/Wolfsburg-Nurnberg-November-21-2009-Bundesliga","Wolfsburg","Home","Thomas Kahlenberg",NA,"DEN","MF","26-246",56,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Wolfsburg","4-1-2-1-2",2,NA,"Ashkan Dejagah · 59&rsquor; Grafite (P) · 79&rsquor;","6","0","Nürnberg","4-1-2-1-2",3,NA,"Albert Bunjaku · 56&rsquor; Albert Bunjaku · 64&rsquor; Peer Kluge · 90&rsquor;","4","0","https://fbref.com/en/matches/f45fb8f1/Wolfsburg-Nurnberg-November-21-2009-Bundesliga","Wolfsburg","Home","Ashkan Dejagah",NA,"IRN","FW,MF","23-139",34,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Wolfsburg","4-1-2-1-2",2,NA,"Ashkan Dejagah · 59&rsquor; Grafite (P) · 79&rsquor;","6","0","Nürnberg","4-1-2-1-2",3,NA,"Albert Bunjaku · 56&rsquor; Albert Bunjaku · 64&rsquor; Peer Kluge · 90&rsquor;","4","0","https://fbref.com/en/matches/f45fb8f1/Wolfsburg-Nurnberg-November-21-2009-Bundesliga","Wolfsburg","Home","Josué",NA,"BRA","MF","30-125",71,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Wolfsburg","4-1-2-1-2",2,NA,"Ashkan Dejagah · 59&rsquor; Grafite (P) · 79&rsquor;","6","0","Nürnberg","4-1-2-1-2",3,NA,"Albert Bunjaku · 56&rsquor; Albert Bunjaku · 64&rsquor; Peer Kluge · 90&rsquor;","4","0","https://fbref.com/en/matches/f45fb8f1/Wolfsburg-Nurnberg-November-21-2009-Bundesliga","Wolfsburg","Home","Obafemi Martins",NA,"NGA","FW","25-024",19,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Wolfsburg","4-1-2-1-2",2,NA,"Ashkan Dejagah · 59&rsquor; Grafite (P) · 79&rsquor;","6","0","Nürnberg","4-1-2-1-2",3,NA,"Albert Bunjaku · 56&rsquor; Albert Bunjaku · 64&rsquor; Peer Kluge · 90&rsquor;","4","0","https://fbref.com/en/matches/f45fb8f1/Wolfsburg-Nurnberg-November-21-2009-Bundesliga","Wolfsburg","Home","Marcel Schäfer",NA,"GER","DF,MF","25-167",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Wolfsburg","4-1-2-1-2",2,NA,"Ashkan Dejagah · 59&rsquor; Grafite (P) · 79&rsquor;","6","0","Nürnberg","4-1-2-1-2",3,NA,"Albert Bunjaku · 56&rsquor; Albert Bunjaku · 64&rsquor; Peer Kluge · 90&rsquor;","4","0","https://fbref.com/en/matches/f45fb8f1/Wolfsburg-Nurnberg-November-21-2009-Bundesliga","Wolfsburg","Home","Alexander Madlung",NA,"GER","DF","27-133",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
