"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Wolfsburg","Home","Edin Džeko",NA,"BIH","FW","23-143",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Wolfsburg","Home","Grafite",NA,"BRA","FW","30-127",89,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Wolfsburg","Home","Alexander Esswein",NA,"GER","FW,MF","19-135",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Wolfsburg","Home","Zvjezdan Misimović",NA,"BIH","MF","27-063",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Wolfsburg","Home","Christian Gentner",NA,"GER","MF","23-358",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Wolfsburg","Home","Karim Ziani",NA,"ALG","FW,MF","26-355",86,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Wolfsburg","Home","Ashkan Dejagah",NA,"IRN","FW,MF","23-033",4,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Wolfsburg","Home","Josué",NA,"BRA","MF","30-019",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Wolfsburg","Home","Marcel Schäfer",NA,"GER","DF,MF","25-061",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Wolfsburg","Home","Andrea Barzagli",NA,"ITA","DF","28-091",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Wolfsburg","Home","Alexander Madlung",NA,"GER","DF","27-027",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Wolfsburg","Home","Sascha Riether",NA,"GER","DF,MF","26-137",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Wolfsburg","Home","Diego Benaglio",NA,"SUI","GK","25-333",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Stuttgart","Away","Pavel Pogrebnyak",NA,"RUS","FW","25-272",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Stuttgart","Away","Cacau",NA,"GER","FW","28-133",67,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Stuttgart","Away","Ciprian Marica",NA,"ROU","FW","23-309",23,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Stuttgart","Away","Alexander Hleb",NA,"BLR","MF","28-098",55,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Stuttgart","Away","Jan Šimák",NA,"CZE","MF","30-298",35,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Stuttgart","Away","Thomas Hitzlsperger",NA,"GER","MF","27-124",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Stuttgart","Away","Sami Khedira",NA,"GER","MF","22-125",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Stuttgart","Away","Timo Gebhart",NA,"GER","MF","20-117",74,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Stuttgart","Away","Élson",NA,"BRA","MF","27-264",16,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Stuttgart","Away","Ludovic Magnin",NA,"SUI","DF","30-109",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Stuttgart","Away","Matthieu Delpierre",NA,"FRA","DF","28-103",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Stuttgart","Away","Serdar Tasci",NA,"GER","DF","22-105",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Stuttgart","Away","Christian Träsch",NA,"GER","DF,MF","21-340",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Wolfsburg","4-1-2-1-2",2,NA,"Zvjezdan Misimović · 71&rsquor; Grafite · 82&rsquor;","0","0","Stuttgart","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga","Stuttgart","Away","Jens Lehmann",NA,"GER","GK","39-270",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
