"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 10)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 6&rsquor; Edin Džeko · 76&rsquor;","0","0","Stuttgart","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/080d0588/Wolfsburg-Stuttgart-October-30-2010-Bundesliga","Wolfsburg","Home","Edin Džeko",NA,"BIH","FW","24-227",79,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 10)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 6&rsquor; Edin Džeko · 76&rsquor;","0","0","Stuttgart","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/080d0588/Wolfsburg-Stuttgart-October-30-2010-Bundesliga","Wolfsburg","Home","Alexander Madlung",NA,"GER","DF","28-111",11,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 10)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 6&rsquor; Edin Džeko · 76&rsquor;","0","0","Stuttgart","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/080d0588/Wolfsburg-Stuttgart-October-30-2010-Bundesliga","Wolfsburg","Home","Grafite",NA,"BRA","FW","31-211",65,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 10)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 6&rsquor; Edin Džeko · 76&rsquor;","0","0","Stuttgart","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/080d0588/Wolfsburg-Stuttgart-October-30-2010-Bundesliga","Wolfsburg","Home","Mario Mandžukić",NA,"CRO","FW,MF","24-162",25,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 10)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 6&rsquor; Edin Džeko · 76&rsquor;","0","0","Stuttgart","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/080d0588/Wolfsburg-Stuttgart-October-30-2010-Bundesliga","Wolfsburg","Home","Diego",NA,"BRA","MF","25-244",84,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 10)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 6&rsquor; Edin Džeko · 76&rsquor;","0","0","Stuttgart","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/080d0588/Wolfsburg-Stuttgart-October-30-2010-Bundesliga","Wolfsburg","Home","Thomas Kahlenberg",NA,"DEN","MF","27-224",6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 10)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 6&rsquor; Edin Džeko · 76&rsquor;","0","0","Stuttgart","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/080d0588/Wolfsburg-Stuttgart-October-30-2010-Bundesliga","Wolfsburg","Home","Ashkan Dejagah",NA,"IRN","FW,MF","24-117",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 10)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 6&rsquor; Edin Džeko · 76&rsquor;","0","0","Stuttgart","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/080d0588/Wolfsburg-Stuttgart-October-30-2010-Bundesliga","Wolfsburg","Home","Sascha Riether",NA,"GER","DF,MF","27-221",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 10)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 6&rsquor; Edin Džeko · 76&rsquor;","0","0","Stuttgart","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/080d0588/Wolfsburg-Stuttgart-October-30-2010-Bundesliga","Wolfsburg","Home","Josué",NA,"BRA","MF","31-103",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 10)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 6&rsquor; Edin Džeko · 76&rsquor;","0","0","Stuttgart","4-1-4-1",0,NA,"","2","0","https://fbref.com/en/matches/080d0588/Wolfsburg-Stuttgart-October-30-2010-Bundesliga","Wolfsburg","Home","Marcel Schäfer",NA,"GER","DF,MF","26-145",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
