"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 31)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 18&rsquor; Grafite · 40&rsquor;","1","0","Werder Bremen","4-2-3-1",4,NA,"Torsten Frings (P) · 38&rsquor; Claudio Pizarro · 49&rsquor; Torsten Frings · 62&rsquor; Hugo Almeida · 75&rsquor;","3","0","https://fbref.com/en/matches/121f02fd/Wolfsburg-Werder-Bremen-April-17-2010-Bundesliga","Wolfsburg","Home","Edin Džeko",NA,"BIH","FW","24-031",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 31)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 18&rsquor; Grafite · 40&rsquor;","1","0","Werder Bremen","4-2-3-1",4,NA,"Torsten Frings (P) · 38&rsquor; Claudio Pizarro · 49&rsquor; Torsten Frings · 62&rsquor; Hugo Almeida · 75&rsquor;","3","0","https://fbref.com/en/matches/121f02fd/Wolfsburg-Werder-Bremen-April-17-2010-Bundesliga","Wolfsburg","Home","Grafite",NA,"BRA","FW","31-015",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 31)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 18&rsquor; Grafite · 40&rsquor;","1","0","Werder Bremen","4-2-3-1",4,NA,"Torsten Frings (P) · 38&rsquor; Claudio Pizarro · 49&rsquor; Torsten Frings · 62&rsquor; Hugo Almeida · 75&rsquor;","3","0","https://fbref.com/en/matches/121f02fd/Wolfsburg-Werder-Bremen-April-17-2010-Bundesliga","Wolfsburg","Home","Zvjezdan Misimović",NA,"BIH","MF","27-316",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 31)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 18&rsquor; Grafite · 40&rsquor;","1","0","Werder Bremen","4-2-3-1",4,NA,"Torsten Frings (P) · 38&rsquor; Claudio Pizarro · 49&rsquor; Torsten Frings · 62&rsquor; Hugo Almeida · 75&rsquor;","3","0","https://fbref.com/en/matches/121f02fd/Wolfsburg-Werder-Bremen-April-17-2010-Bundesliga","Wolfsburg","Home","Christian Gentner",NA,"GER","MF","24-246",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 31)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 18&rsquor; Grafite · 40&rsquor;","1","0","Werder Bremen","4-2-3-1",4,NA,"Torsten Frings (P) · 38&rsquor; Claudio Pizarro · 49&rsquor; Torsten Frings · 62&rsquor; Hugo Almeida · 75&rsquor;","3","0","https://fbref.com/en/matches/121f02fd/Wolfsburg-Werder-Bremen-April-17-2010-Bundesliga","Wolfsburg","Home","Makoto Hasebe",NA,"JPN","DF,MF","26-089",69,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 31)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 18&rsquor; Grafite · 40&rsquor;","1","0","Werder Bremen","4-2-3-1",4,NA,"Torsten Frings (P) · 38&rsquor; Claudio Pizarro · 49&rsquor; Torsten Frings · 62&rsquor; Hugo Almeida · 75&rsquor;","3","0","https://fbref.com/en/matches/121f02fd/Wolfsburg-Werder-Bremen-April-17-2010-Bundesliga","Wolfsburg","Home","Obafemi Martins",NA,"NGA","FW","25-171",21,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 31)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 18&rsquor; Grafite · 40&rsquor;","1","0","Werder Bremen","4-2-3-1",4,NA,"Torsten Frings (P) · 38&rsquor; Claudio Pizarro · 49&rsquor; Torsten Frings · 62&rsquor; Hugo Almeida · 75&rsquor;","3","0","https://fbref.com/en/matches/121f02fd/Wolfsburg-Werder-Bremen-April-17-2010-Bundesliga","Wolfsburg","Home","Josué",NA,"BRA","MF","30-272",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 31)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 18&rsquor; Grafite · 40&rsquor;","1","0","Werder Bremen","4-2-3-1",4,NA,"Torsten Frings (P) · 38&rsquor; Claudio Pizarro · 49&rsquor; Torsten Frings · 62&rsquor; Hugo Almeida · 75&rsquor;","3","0","https://fbref.com/en/matches/121f02fd/Wolfsburg-Werder-Bremen-April-17-2010-Bundesliga","Wolfsburg","Home","Marcel Schäfer",NA,"GER","DF,MF","25-314",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 31)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 18&rsquor; Grafite · 40&rsquor;","1","0","Werder Bremen","4-2-3-1",4,NA,"Torsten Frings (P) · 38&rsquor; Claudio Pizarro · 49&rsquor; Torsten Frings · 62&rsquor; Hugo Almeida · 75&rsquor;","3","0","https://fbref.com/en/matches/121f02fd/Wolfsburg-Werder-Bremen-April-17-2010-Bundesliga","Wolfsburg","Home","Andrea Barzagli",NA,"ITA","DF","28-344",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 31)","Wolfsburg","4-1-2-1-2",2,NA,"Edin Džeko · 18&rsquor; Grafite · 40&rsquor;","1","0","Werder Bremen","4-2-3-1",4,NA,"Torsten Frings (P) · 38&rsquor; Claudio Pizarro · 49&rsquor; Torsten Frings · 62&rsquor; Hugo Almeida · 75&rsquor;","3","0","https://fbref.com/en/matches/121f02fd/Wolfsburg-Werder-Bremen-April-17-2010-Bundesliga","Wolfsburg","Home","Sascha Riether",NA,"GER","DF,MF","27-025",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
