"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Wolfsburg","Home","Edin Džeko",NA,"BIH","FW","24-262",87,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Wolfsburg","Home","Ashkan Dejagah",NA,"IRN","FW,MF","24-152",3,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Wolfsburg","Home","Tolga Ciğerci",NA,"TUR","MF","18-256",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Wolfsburg","Home","Mario Mandžukić",NA,"CRO","FW,MF","24-197",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Wolfsburg","Home","Diego",NA,"BRA","MF","25-279",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Wolfsburg","Home","Josué",NA,"BRA","MF","31-138",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Wolfsburg","Home","Sascha Riether",NA,"GER","DF,MF","27-256",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Wolfsburg","Home","Marcel Schäfer",NA,"GER","DF,MF","26-180",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Wolfsburg","Home","Andrea Barzagli",NA,"ITA","DF","29-210",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Wolfsburg","Home","Simon Kjær",NA,"DEN","DF","21-253",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Wolfsburg","Home","Peter Pekarík",NA,"SVK","DF","24-035",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Wolfsburg","Home","Diego Benaglio",NA,"SUI","GK","27-087",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Werder Bremen","Away","Marko Arnautović",NA,"AUT","FW,MF","21-229",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Werder Bremen","Away","Marko Marin",NA,"GER","FW,MF","21-266",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Werder Bremen","Away","Philipp Bargfrede",NA,"GER","MF","21-276",79,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Werder Bremen","Away","Daniel Jensen",NA,"DEN","MF","31-162",11,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Werder Bremen","Away","Aaron Hunt",NA,"GER","FW,MF","24-091",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Werder Bremen","Away","Torsten Frings",NA,"GER","MF","34-012",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Werder Bremen","Away","Clemens Fritz",NA,"GER","DF,MF","29-362",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Werder Bremen","Away","Petri Pasanen",NA,"FIN","DF","30-071",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Werder Bremen","Away","Sebastian Prödl",NA,"AUT","DF,MF","23-166",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Werder Bremen","Away","Per Mertesacker",NA,"GER","DF","26-066",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Werder Bremen","Away","Dominik Schmidt",NA,"GER","DF","23-156",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 15)","Wolfsburg","4-2-3-1",0,NA,"","3","0","Werder Bremen","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/d08105f0/Wolfsburg-Werder-Bremen-December-4-2010-Bundesliga","Werder Bremen","Away","Tim Wiese",NA,"GER","GK","28-352",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
