"","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"1","Serie A","M","ITA",2013,NA,"1","Sat",2012-08-25,NA,"Juventus",2,"Parma",0,NA,NA,"Andrea Romeo","","https://fbref.com/en/matches/ced1918b/Juventus-Parma-August-25-2012-Serie-A",NA,NA
"2","Serie A","M","ITA",2013,NA,"1","Sat",2012-08-25,NA,"Fiorentina",2,"Udinese",1,NA,NA,"Paolo Mazzoleni","","https://fbref.com/en/matches/f74988d9/Fiorentina-Udinese-August-25-2012-Serie-A",NA,NA
"3","Serie A","M","ITA",2013,NA,"1","Sun",2012-08-26,NA,"Palermo",0,"Napoli",3,NA,NA,"Daniele Orsato","","https://fbref.com/en/matches/a770f382/Palermo-Napoli-August-26-2012-Serie-A",NA,NA
"4","Serie A","M","ITA",2013,NA,"1","Sun",2012-08-26,NA,"Pescara",0,"Inter",3,NA,NA,"Marco Guida","","https://fbref.com/en/matches/70cb3baa/Pescara-Internazionale-August-26-2012-Serie-A",NA,NA
"5","Serie A","M","ITA",2013,NA,"1","Sun",2012-08-26,NA,"Atalanta",0,"Lazio",1,NA,NA,"Andrea Gervasoni","","https://fbref.com/en/matches/75257a05/Atalanta-Lazio-August-26-2012-Serie-A",NA,NA
"6","Serie A","M","ITA",2013,NA,"1","Sun",2012-08-26,NA,"Roma",2,"Catania",2,NA,NA,"Andrea De Marco","","https://fbref.com/en/matches/83de1a08/Roma-Catania-August-26-2012-Serie-A",NA,NA
"7","Serie A","M","ITA",2013,NA,"1","Sun",2012-08-26,NA,"Milan",0,"Sampdoria",1,NA,NA,"Luca Banti","","https://fbref.com/en/matches/e3dc8f3c/Milan-Sampdoria-August-26-2012-Serie-A",NA,NA
"8","Serie A","M","ITA",2013,NA,"1","Sun",2012-08-26,NA,"Genoa",2,"Cagliari",0,NA,NA,"Nicola Rizzoli","","https://fbref.com/en/matches/4695309b/Genoa-Cagliari-August-26-2012-Serie-A",NA,NA
"9","Serie A","M","ITA",2013,NA,"1","Sun",2012-08-26,NA,"Chievo",2,"Bologna",0,NA,NA,"Gianpaolo Calvarese","","https://fbref.com/en/matches/3dbe1c35/Chievo-Bologna-August-26-2012-Serie-A",NA,NA
"10","Serie A","M","ITA",2013,NA,"1","Sun",2012-08-26,NA,"Siena",0,"Torino",0,NA,NA,"Piero Giacomelli","","https://fbref.com/en/matches/1e7270a5/Siena-Torino-August-26-2012-Serie-A",NA,NA
"11","Serie A","M","ITA",2013,NA,"10","Tue",2012-10-30,NA,"Palermo",2,"Milan",2,NA,NA,"Nicola Rizzoli","","https://fbref.com/en/matches/76da86f0/Palermo-Milan-October-30-2012-Serie-A",NA,NA
"12","Serie A","M","ITA",2013,NA,"10","Wed",2012-10-31,NA,"Chievo",2,"Pescara",0,NA,NA,"Emilio Ostinelli","","https://fbref.com/en/matches/a83581d6/Chievo-Pescara-October-31-2012-Serie-A",NA,NA
