"","Date","Home","Away"
"1",2022-10-14,"Emmen","Volendam"
"2",2022-10-15,"Go Ahead Eag","Heerenveen"
"3",2022-10-15,"Fortuna Sittard","RKC Waalwijk"
"4",2022-10-15,"Ajax","Excelsior"
"5",2022-10-15,"Cambuur","Vitesse"
"6",2022-10-16,"Sparta R'dam","NEC Nijmegen"
"7",2022-10-16,"PSV Eindhoven","Utrecht"
"8",2022-10-16,"Twente","Groningen"
"9",2022-10-16,"AZ Alkmaar","Feyenoord"
"10",2022-10-22,"Feyenoord","Fortuna Sittard"
"11",2022-10-22,"RKC Waalwijk","Ajax"
"12",2022-10-22,"Cambuur","Twente"
"13",2022-10-22,"Vitesse","Emmen"
"14",2022-10-22,"Groningen","PSV Eindhoven"
"15",2022-10-23,"Excelsior","AZ Alkmaar"
"16",2022-10-23,"Volendam","Heerenveen"
"17",2022-10-23,"NEC Nijmegen","Go Ahead Eag"
"18",2022-10-23,"Utrecht","Sparta R'dam"
"19",2022-10-30,"AZ Alkmaar","Volendam"
"20",2022-10-30,"Twente","RKC Waalwijk"
"21",2022-10-30,"Ajax","Vitesse"
"22",2022-10-30,"Go Ahead Eag","Excelsior"
"23",2022-10-30,"Heerenveen","Utrecht"
"24",2022-10-30,"PSV Eindhoven","NEC Nijmegen"
"25",2022-10-30,"Feyenoord","Cambuur"
"26",2022-10-30,"Emmen","Groningen"
"27",2022-10-30,"Sparta R'dam","Fortuna Sittard"
"28",2022-11-06,"Vitesse","Sparta R'dam"
"29",2022-11-06,"Fortuna Sittard","Emmen"
"30",2022-11-06,"Twente","Go Ahead Eag"
"31",2022-11-06,"Ajax","PSV Eindhoven"
"32",2022-11-06,"Excelsior","Heerenveen"
"33",2022-11-06,"Cambuur","NEC Nijmegen"
"34",2022-11-06,"Volendam","Feyenoord"
"35",2022-11-06,"Utrecht","Groningen"
"36",2022-11-06,"RKC Waalwijk","AZ Alkmaar"
"37",2022-11-13,"Groningen","Fortuna Sittard"
"38",2022-11-13,"Feyenoord","Excelsior"
"39",2022-11-13,"NEC Nijmegen","RKC Waalwijk"
"40",2022-11-13,"Go Ahead Eag","Vitesse"
"41",2022-11-13,"Volendam","Utrecht"
"42",2022-11-13,"PSV Eindhoven","AZ Alkmaar"
"43",2022-11-13,"Emmen","Ajax"
"44",2022-11-13,"Heerenveen","Cambuur"
"45",2022-11-13,"Sparta R'dam","Twente"
"46",2023-01-06,"Twente","Emmen"
"47",2023-01-07,"RKC Waalwijk","Heerenveen"
"48",2023-01-07,"PSV Eindhoven","Sparta R'dam"
"49",2023-01-07,"AZ Alkmaar","Vitesse"
"50",2023-01-07,"Fortuna Sittard","Go Ahead Eag"
"51",2023-01-08,"Utrecht","Feyenoord"
"52",2023-01-08,"Cambuur","Volendam"
"53",2023-01-08,"NEC Nijmegen","Ajax"
"54",2023-01-08,"Excelsior","Groningen"
"55",2023-01-13,"Heerenveen","AZ Alkmaar"
"56",2023-01-14,"Ajax","Twente"
"57",2023-01-14,"Volendam","RKC Waalwijk"
"58",2023-01-14,"Sparta R'dam","Excelsior"
"59",2023-01-14,"Groningen","Feyenoord"
"60",2023-01-15,"Emmen","Cambuur"
"61",2023-01-15,"Fortuna Sittard","PSV Eindhoven"
"62",2023-01-15,"Go Ahead Eag","Utrecht"
"63",2023-01-15,"Vitesse","NEC Nijmegen"
"64",2023-01-20,"Excelsior","Volendam"
"65",2023-01-21,"PSV Eindhoven","Vitesse"
"66",2023-01-21,"Cambuur","Sparta R'dam"
"67",2023-01-21,"NEC Nijmegen","Emmen"
"68",2023-01-21,"RKC Waalwijk","Go Ahead Eag"
"69",2023-01-22,"AZ Alkmaar","Fortuna Sittard"
"70",2023-01-22,"Twente","Utrecht"
"71",2023-01-22,"Feyenoord","Ajax"
"72",2023-01-22,"Heerenveen","Groningen"
"73",2023-01-24,"Sparta R'dam","RKC Waalwijk"
"74",2023-01-24,"Emmen","PSV Eindhoven"
"75",2023-01-25,"Fortuna Sittard","Heerenveen"
"76",2023-01-25,"Go Ahead Eag","AZ Alkmaar"
"77",2023-01-25,"Utrecht","Excelsior"
"78",2023-01-25,"Vitesse","Twente"
"79",2023-01-25,"Feyenoord","NEC Nijmegen"
"80",2023-01-26,"Groningen","Cambuur"
"81",2023-01-26,"Ajax","Volendam"
"82",2023-01-27,"RKC Waalwijk","Emmen"
"83",2023-01-28,"AZ Alkmaar","Utrecht"
"84",2023-01-28,"PSV Eindhoven","Go Ahead Eag"
"85",2023-01-28,"NEC Nijmegen","Sparta R'dam"
"86",2023-01-28,"Heerenveen","Vitesse"
"87",2023-01-29,"Volendam","Groningen"
"88",2023-01-29,"Cambuur","Fortuna Sittard"
"89",2023-01-29,"Twente","Feyenoord"
"90",2023-01-29,"Excelsior","Ajax"
"91",2023-02-03,"Fortuna Sittard","Sparta R'dam"
"92",2023-02-04,"Volendam","AZ Alkmaar"
"93",2023-02-04,"Excelsior","RKC Waalwijk"
"94",2023-02-04,"Utrecht","Heerenveen"
"95",2023-02-04,"Emmen","Vitesse"
"96",2023-02-05,"Go Ahead Eag","NEC Nijmegen"
"97",2023-02-05,"Feyenoord","PSV Eindhoven"
"98",2023-02-05,"Groningen","Twente"
"99",2023-02-05,"Cambuur","Ajax"
"100",2023-02-12,"NEC Nijmegen","Cambuur"
"101",2023-02-12,"Heerenveen","Feyenoord"
"102",2023-02-12,"PSV Eindhoven","Groningen"
"103",2023-02-12,"Vitesse","Utrecht"
"104",2023-02-12,"Ajax","RKC Waalwijk"
"105",2023-02-12,"AZ Alkmaar","Excelsior"
"106",2023-02-12,"Twente","Volendam"
"107",2023-02-12,"Emmen","Fortuna Sittard"
"108",2023-02-12,"Sparta R'dam","Go Ahead Eag"
"109",2023-02-19,"Groningen","Emmen"
"110",2023-02-19,"Ajax","Sparta R'dam"
"111",2023-02-19,"RKC Waalwijk","Fortuna Sittard"
"112",2023-02-19,"Excelsior","NEC Nijmegen"
"113",2023-02-19,"Volendam","Vitesse"
"114",2023-02-19,"Cambuur","Heerenveen"
"115",2023-02-19,"Utrecht","PSV Eindhoven"
"116",2023-02-19,"Feyenoord","AZ Alkmaar"
"117",2023-02-19,"Go Ahead Eag","Twente"
"118",2023-02-26,"Fortuna Sittard","Feyenoord"
"119",2023-02-26,"Sparta R'dam","Utrecht"
"120",2023-02-26,"PSV Eindhoven","Twente"
"121",2023-02-26,"NEC Nijmegen","Volendam"
"122",2023-02-26,"AZ Alkmaar","Cambuur"
"123",2023-02-26,"Heerenveen","RKC Waalwijk"
"124",2023-02-26,"Vitesse","Ajax"
"125",2023-02-26,"Groningen","Excelsior"
"126",2023-02-26,"Emmen","Go Ahead Eag"
"127",2023-03-05,"Twente","Heerenveen"
"128",2023-03-05,"Utrecht","Fortuna Sittard"
"129",2023-03-05,"Excelsior","Sparta R'dam"
"130",2023-03-05,"Ajax","NEC Nijmegen"
"131",2023-03-05,"Feyenoord","Groningen"
"132",2023-03-05,"Vitesse","AZ Alkmaar"
"133",2023-03-05,"Volendam","Emmen"
"134",2023-03-05,"RKC Waalwijk","PSV Eindhoven"
"135",2023-03-05,"Cambuur","Go Ahead Eag"
"136",2023-03-12,"Fortuna Sittard","Twente"
"137",2023-03-12,"Go Ahead Eag","RKC Waalwijk"
"138",2023-03-12,"Feyenoord","Volendam"
"139",2023-03-12,"PSV Eindhoven","Cambuur"
"140",2023-03-12,"Emmen","Excelsior"
"141",2023-03-12,"Heerenveen","Ajax"
"142",2023-03-12,"AZ Alkmaar","Groningen"
"143",2023-03-12,"NEC Nijmegen","Utrecht"
"144",2023-03-12,"Sparta R'dam","Vitesse"
"145",2023-03-19,"Groningen","Heerenveen"
"146",2023-03-19,"Volendam","Fortuna Sittard"
"147",2023-03-19,"Emmen","Sparta R'dam"
"148",2023-03-19,"RKC Waalwijk","NEC Nijmegen"
"149",2023-03-19,"Vitesse","PSV Eindhoven"
"150",2023-03-19,"Twente","AZ Alkmaar"
"151",2023-03-19,"Ajax","Feyenoord"
"152",2023-03-19,"Excelsior","Cambuur"
"153",2023-03-19,"Utrecht","Go Ahead Eag"
"154",2023-03-26,"Sparta R'dam","Feyenoord"
"155",2023-03-26,"Excelsior","Twente"
"156",2023-03-26,"Cambuur","Emmen"
"157",2023-03-26,"AZ Alkmaar","Heerenveen"
"158",2023-03-26,"NEC Nijmegen","PSV Eindhoven"
"159",2023-03-26,"Fortuna Sittard","Groningen"
"160",2023-03-26,"RKC Waalwijk","Vitesse"
"161",2023-03-26,"Utrecht","Volendam"
"162",2023-03-26,"Go Ahead Eag","Ajax"
