"","Date","Home","Away","HomeGoals","AwayGoals"
"1",2009-07-31,"Heerenveen","Roda JC",0,0
"2",2009-08-01,"RKC Waalwijk","Utrecht",0,1
"3",2009-08-01,"Sparta R'dam","Twente",0,2
"4",2009-08-01,"Willem II","Vitesse",3,1
"5",2009-08-01,"Heracles Almelo","AZ Alkmaar",3,2
"6",2009-08-02,"Groningen","Ajax",0,2
"7",2009-08-02,"Feyenoord","NEC Nijmegen",2,0
"8",2009-08-02,"PSV Eindhoven","VVV-Venlo",3,3
"9",2009-08-02,"ADO Den Haag","NAC Breda",1,2
"10",2009-10-17,"Ajax","Willem II",4,0
"11",2009-10-17,"Twente","AZ Alkmaar",3,2
"12",2009-10-17,"NAC Breda","Vitesse",4,0
"13",2009-10-17,"PSV Eindhoven","Heerenveen",1,0
"14",2009-10-18,"VVV-Venlo","Roda JC",1,1
"15",2009-10-18,"RKC Waalwijk","Heracles Almelo",0,1
"16",2009-10-18,"NEC Nijmegen","ADO Den Haag",1,1
"17",2009-10-18,"Sparta R'dam","Feyenoord",2,1
"18",2009-10-18,"Groningen","Utrecht",0,0
"19",2009-10-23,"Utrecht","Roda JC",2,1
"20",2009-10-24,"Feyenoord","VVV-Venlo",1,0
"21",2009-10-24,"ADO Den Haag","Sparta R'dam",2,3
"22",2009-10-24,"NAC Breda","RKC Waalwijk",1,0
"23",2009-10-24,"Vitesse","Heracles Almelo",0,2
"24",2009-10-25,"NEC Nijmegen","PSV Eindhoven",0,4
"25",2009-10-25,"Twente","Groningen",4,0
"26",2009-10-25,"Willem II","Heerenveen",4,1
"27",2009-10-25,"AZ Alkmaar","Ajax",2,4
"28",2009-10-30,"VVV-Venlo","NAC Breda",1,1
"29",2009-10-31,"PSV Eindhoven","Vitesse",1,0
"30",2009-10-31,"Roda JC","Twente",1,2
"31",2009-10-31,"Groningen","AZ Alkmaar",0,1
"32",2009-10-31,"Heerenveen","ADO Den Haag",3,0
"33",2009-11-01,"Heracles Almelo","Utrecht",3,1
