,Team,Player
0,1,None Alisson
1,1,Conor Bradley
2,1,Ibrahima Konaté
3,1,Virgil van Dijk
4,1,Andy Robertson
5,1,Curtis Jones
6,1,Wataru Endo
7,1,Alexis Mac Allister
8,1,Mohamed Salah
9,1,Darwin Núñez
10,1,Luis Díaz
11,1,Caoimhin Kelleher
12,1,Joe Gomez
13,1,Trent Alexander-Arnold
14,1,Jarell Quansah
15,1,Dominik Szoboszlai
16,1,Harvey Elliott
17,1,Ryan Gravenberch
18,1,Cody Gakpo
19,1,Diogo Jota
20,1,Jürgen Klopp
21,2,Dean Henderson
22,2,Nathaniel Clyne
23,2,Joachim Andersen
24,2,Jefferson Lerma
25,2,Daniel Muñoz
26,2,Adam Wharton
27,2,Will Hughes
28,2,Tyrick Mitchell
29,2,Michael Olise
30,2,Jean-Philippe Mateta
31,2,Eberechi Eze
32,2,Remi Matthews
33,2,Joel Ward
34,2,James Tomkins
35,2,Jeffrey Schlupp
36,2,Naouirou Ahamada
37,2,Jairo Riedewald
38,2,David Ozoh
39,2,Jordan Ayew
40,2,Odsonne Edouard
41,2,Oliver Glasner
42,1,None Alisson
43,1,Conor Bradley
44,1,Ibrahima Konaté
45,1,Virgil van Dijk
46,1,Andy Robertson
47,1,Curtis Jones
48,1,Wataru Endo
49,1,Alexis Mac Allister
50,1,Mohamed Salah
51,1,Darwin Núñez
52,1,Luis Díaz
53,1,Caoimhin Kelleher
54,1,Joe Gomez
55,1,Trent Alexander-Arnold
56,1,Jarell Quansah
57,1,Dominik Szoboszlai
58,1,Harvey Elliott
59,1,Ryan Gravenberch
60,1,Cody Gakpo
61,1,Diogo Jota
62,1,Jürgen Klopp
63,2,Dean Henderson
64,2,Nathaniel Clyne
65,2,Joachim Andersen
66,2,Jefferson Lerma
67,2,Daniel Muñoz
68,2,Adam Wharton
69,2,Will Hughes
70,2,Tyrick Mitchell
71,2,Michael Olise
72,2,Jean-Philippe Mateta
73,2,Eberechi Eze
74,2,Remi Matthews
75,2,Joel Ward
76,2,James Tomkins
77,2,Jeffrey Schlupp
78,2,Naouirou Ahamada
79,2,Jairo Riedewald
80,2,David Ozoh
81,2,Jordan Ayew
82,2,Odsonne Edouard
83,2,Oliver Glasner
