"Season","Squad","Comp","Player","Nation","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL"
"2023-2024","Everton","Premier League","Jordan Pickford","ENG","GK","30-039",31,31,2790,31,0,0,0,0,0,0,4,0,0,0,0.1,0.1,1,5,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/4806ec67/Jordan-Pickford"
"2023-2024","Everton","Premier League","James Tarkowski","ENG","DF","31-148",31,31,2789,31,1,1,2,1,0,0,8,0,2.4,2.4,2.2,4.6,14,113,18,0.03,0.03,0.06,0.03,0.06,0.08,0.07,0.15,0.08,0.15,"https://fbref.com/en/players/15ea812b/James-Tarkowski"
"2023-2024","Everton","Premier League","James Garner","ENG","MF","23-033",30,28,2521,28,1,2,3,1,0,0,5,0,2.3,2.3,4.3,6.5,28,90,62,0.04,0.07,0.11,0.04,0.11,0.08,0.15,0.23,0.08,0.23,"https://fbref.com/en/players/4e015693/James-Garner"
"2023-2024","Everton","Premier League","Jarrad Branthwaite","ENG","DF","21-293",28,28,2520,28,2,0,2,2,0,0,7,0,1.4,1.4,0.9,2.3,2,57,6,0.07,0,0.07,0.07,0.07,0.05,0.03,0.08,0.05,0.08,"https://fbref.com/en/players/c1949191/Jarrad-Branthwaite"
"2023-2024","Everton","Premier League","Dwight McNeil","ENG","MF,FW","24-145",28,26,2284,25.4,2,5,7,2,0,0,2,0,3,3,7.5,10.5,68,95,114,0.08,0.2,0.28,0.08,0.28,0.12,0.29,0.41,0.12,0.41,"https://fbref.com/en/players/fc15fb84/Dwight-McNeil"
"2023-2024","Everton","Premier League","Vitaliy Mykolenko","UKR","DF","24-322",25,25,2244,24.9,2,0,2,2,0,0,1,0,1.5,1.5,0.9,2.3,13,52,64,0.08,0,0.08,0.08,0.08,0.06,0.03,0.09,0.06,0.09,"https://fbref.com/en/players/30d4a2e5/Vitaliy-Mykolenko"
"2023-2024","Everton","Premier League","Abdoulaye Doucoure","MLI","FW,MF","31-105",25,25,2059,22.9,6,0,6,6,0,0,5,0,6.7,6.7,2.6,9.3,44,78,118,0.26,0,0.26,0.26,0.26,0.29,0.11,0.41,0.29,0.41,"https://fbref.com/en/players/02b29014/Abdoulaye-Doucoure"
"2023-2024","Everton","Premier League","Jack Harrison","ENG","MF,FW","27-147",24,21,1809,20.1,3,3,6,3,0,0,0,0,3.2,3.2,3.1,6.3,51,50,111,0.15,0.15,0.3,0.15,0.3,0.16,0.15,0.31,0.16,0.31,"https://fbref.com/en/players/aa849a12/Jack-Harrison"
"2023-2024","Everton","Premier League","Dominic Calvert-Lewin","ENG","FW","27-030",27,21,1785,19.8,5,1,6,4,1,1,1,0,10.9,10.1,1.7,11.8,28,28,94,0.25,0.05,0.3,0.2,0.25,0.55,0.09,0.63,0.51,0.59,"https://fbref.com/en/players/59e6e5bf/Dominic-Calvert-Lewin"
"2023-2024","Everton","Premier League","Ashley Young","ENG","DF,MF","38-281",24,21,1719,19.1,0,0,0,0,0,0,6,1,0.6,0.6,1.4,2,32,63,52,0,0,0,0,0,0.03,0.07,0.11,0.03,0.11,"https://fbref.com/en/players/be927d03/Ashley-Young"
