"","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"1","La Liga","M","ESP",2010,NA,"1","Sat",2009-08-29,NA,"Zaragoza",1,"Tenerife",0,NA,"La Romareda","González González",NA,"https://fbref.com/en/matches/367fa70b/Zaragoza-Tenerife-August-29-2009-La-Liga",NA,NA
"2","La Liga","M","ESP",2010,NA,"1","Sat",2009-08-29,NA,"Real Madrid",3,"La Coruña",2,NA,"Santiago Bernabéu","Fernández Borbalán",NA,"https://fbref.com/en/matches/67dffb92/Real-Madrid-Deportivo-La-Coruna-August-29-2009-La-Liga",NA,NA
"3","La Liga","M","ESP",2010,NA,"1","Sun",2009-08-30,NA,"Málaga",3,"Atlético Madrid",0,NA,"La Rosaleda","Muñiz Fernández",NA,"https://fbref.com/en/matches/068562a6/Malaga-Atletico-Madrid-August-30-2009-La-Liga",NA,NA
"4","La Liga","M","ESP",2010,NA,"1","Sun",2009-08-30,NA,"Mallorca",2,"Xerez",0,NA,"Ono Estadi","Estrada Fernández",NA,"https://fbref.com/en/matches/46f14b94/Mallorca-Xerez-August-30-2009-La-Liga",NA,NA
"5","La Liga","M","ESP",2010,NA,"1","Sun",2009-08-30,NA,"Racing Sant",1,"Getafe",4,NA,"El Sardinero","Delgado Ferreiro",NA,"https://fbref.com/en/matches/6035fd98/Racing-Santander-Getafe-August-30-2009-La-Liga",NA,NA
"6","La Liga","M","ESP",2010,NA,"1","Sun",2009-08-30,NA,"Osasuna",1,"Villarreal",1,NA,"Reyno de Navarra","Teixeira Vitienes",NA,"https://fbref.com/en/matches/6a01e4f0/Osasuna-Villarreal-August-30-2009-La-Liga",NA,NA
"7","La Liga","M","ESP",2010,NA,"1","Sun",2009-08-30,NA,"Almería",0,"Valladolid",0,NA,"Juegos del Mediterráneo","Mateu Lahoz",NA,"https://fbref.com/en/matches/6b6b5ed8/Almeria-Valladolid-August-30-2009-La-Liga",NA,NA
"8","La Liga","M","ESP",2010,NA,"1","Sun",2009-08-30,NA,"Athletic Club",1,"Espanyol",0,NA,"San Mamés","Clos Gómez",NA,"https://fbref.com/en/matches/a6b010af/Athletic-Club-Espanyol-August-30-2009-La-Liga",NA,NA
"9","La Liga","M","ESP",2010,NA,"1","Sun",2009-08-30,NA,"Valencia",2,"Sevilla",0,NA,"Mestalla","Rubinos Pérez",NA,"https://fbref.com/en/matches/daf971e2/Valencia-Sevilla-August-30-2009-La-Liga",NA,NA
"10","La Liga","M","ESP",2010,NA,"1","Mon",2009-08-31,NA,"Barcelona",3,"Sporting Gijón",0,NA,"Nou Camp","Ramírez Domínguez",NA,"https://fbref.com/en/matches/541c1fc1/Barcelona-Sporting-Gijon-August-31-2009-La-Liga",NA,NA
"11","La Liga","M","ESP",2010,NA,"10","Sat",2009-11-07,NA,"Tenerife",2,"Málaga",2,NA,"Heliodoro Rodríguez","Iturralde González",NA,"https://fbref.com/en/matches/3e21d3eb/Tenerife-Malaga-November-7-2009-La-Liga",NA,NA
"12","La Liga","M","ESP",2010,NA,"10","Sat",2009-11-07,NA,"Barcelona",4,"Mallorca",2,NA,"Nou Camp","Turienzo Álvarez",NA,"https://fbref.com/en/matches/96087bc2/Barcelona-Mallorca-November-7-2009-La-Liga",NA,NA
"13","La Liga","M","ESP",2010,NA,"10","Sat",2009-11-07,NA,"Getafe",0,"La Coruña",2,NA,"Coliseum Alfonso Pérez","González González",NA,"https://fbref.com/en/matches/b2974749/Getafe-Deportivo-La-Coruna-November-7-2009-La-Liga",NA,NA
"14","La Liga","M","ESP",2010,NA,"10","Sat",2009-11-07,NA,"Atlético Madrid",2,"Real Madrid",3,NA,"Vicente Calderón","Clos Gómez",NA,"https://fbref.com/en/matches/f74852e4/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-7-2009-La-Liga",NA,NA
